action,reward
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,-2.3285559524555985
1.0,-11.25740443834133
1.0,-8.317651207279319
1.0,-8.051421190300228
1.0,-8.705109616441518
1.0,-9.552381131277961
1.0,-3.558284120862962
1.0,-4.0997753157791825
1.0,-4.6604618353026535
1.0,-4.94674936733167
1.0,-5.113526249421147
1.0,-4.463565947380953
1.0,-4.1629430283437685
1.0,-5.38389558505434
1.0,-4.559070753026713
1.0,-3.6609338026213023
1.0,-3.601549259980643
1.0,-3.033373506544462
1.0,-5.379525893952034
1.0,-3.2127494524159528
1.0,-2.5100590717002023
1.0,-2.1302378893665623
1.0,-3.9120059053470353
1.0,-5.013534191507367
1.0,-5.13659178526746
1.0,-6.842649244464988
1.0,-2.314422065979543
1.0,-5.382303899724049
1.0,-3.4833098033877707
1.0,-1.4892913582483183
1.0,-0.6952739992942715
1.0,-0.47308872704988003
1.0,-0.4728148213060532
1.0,-1.1655857311310447
1.0,-0.5938230357293264
1.0,-0.5964547714153569
1.0,-0.6891935529652322
1.0,-1.3416350975705889
1.0,-2.7500964402144312
1.0,-2.182653044239069
1.0,-2.6692026867736574
1.0,-7.757479357625289
1.0,-5.850867263730958
1.0,-6.6010997982680735
1.0,-10.456983807178867
1.0,-10.333694234152217
1.0,-9.699490677923082
1.0,-15.29797853218038
1.0,-24.233768980680296
1.0,-16.09471986258874
1.0,-12.982859435010214
1.0,-18.47541275207732
1.0,-9.605567734539166
1.0,-13.020887702197287
1.0,-9.930610896262253
1.0,-7.678520484123868
1.0,-7.965482566133426
1.0,-5.455421670346331
1.0,-7.7114060489126555
1.0,-5.838931868645094
1.0,-5.174206429220622
1.0,-5.370854349365478
1.0,-5.779577439604516
1.0,-6.827661776738648
1.0,-4.94921413034502
1.0,-6.422684529301737
1.0,-7.273965909762777
1.0,-6.125368460861361
1.0,-5.277516192246808
1.0,-4.211019233582653
1.0,-4.940734522230201
1.0,-6.825504475591247
1.0,-5.064906233896783
1.0,-3.6427236441169764
1.0,-4.623894004520552
1.0,-5.802469070878638
1.0,-5.791189858057766
1.0,-5.870339927525291
1.0,-8.36335896206864
1.0,-3.118995216440173
1.0,-5.961483074493036
1.0,-4.1339724777559335
1.0,-1.3574846801594458
1.0,-0.6735982098609351
1.0,-0.8290702300513223
1.0,-0.9903326841372878
1.0,-1.571600544857268
1.0,-1.0085042789688865
1.0,-1.071518829589388
1.0,-1.5630999293567498
1.0,-1.8906206329477009
1.0,-4.862429894100223
1.0,-3.5237885983472075
1.0,-4.319729766755351
1.0,-9.891061031579671
1.0,-6.864001207529878
