tiempo,volumen,hidrologia,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,costo_vertimiento,action,reward,reward_usd
0,45000.0,2.0,6822.144,258888.0,89498.12267082525,10847.177165782276,14205.472175438588,114550.77201204612,0.0,0.0,0.0,0.0,262804.7277197107,148253.95570766457,1191.4687007999999,0.0,0.0,1.0,0.0,0.0
1,39369.324700799996,1.97,6822.144,258888.0,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0.0,0.0,0.0,0.0,259686.40768585046,141415.0551769354,1411.3026406956521,0.0,0.0,1.0,0.0,0.0
2,33958.48334149565,1.89,6822.144,258888.0,90659.82803868594,11002.303434923519,14518.368923684202,116180.50039729365,0.0,0.0,0.0,0.0,284769.89501704235,168589.3946197487,1600.524576,0.0,0.0,1.0,0.0,0.0
3,28736.86391749565,1.82,6822.144,258888.0,90554.62452678141,10732.967364716962,14566.054130701754,115853.64602220013,0.0,0.0,0.0,0.0,322835.61778332083,206981.97176112072,1465.8918624,0.0,0.0,1.0,0.0,0.0
4,23380.611779895655,1.75,6822.144,258888.0,85031.24772094279,10716.475757573358,14637.513606140346,110385.2370846565,0.0,0.0,0.0,0.0,286307.0950337339,175921.85794907738,1863.5418143999998,0.0,0.0,1.0,0.0,0.0
5,18422.00959429565,1.92,6822.144,258888.0,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,0.0,0.0,0.0,0.0,271219.28310519754,158175.455581965,2137.4321472,0.0,0.0,1.0,0.0,0.0
6,13737.297741495653,1.98,6821.246390400001,258853.93734255317,84982.77061434375,10693.418996498953,14763.392324561397,110439.58193540409,0.0,0.0,0.0,0.0,321077.5259995257,210637.94406412158,2088.4415328000005,0.0,0.0,1.0,0.0,0.0
7,9004.492883895651,1.91,4937.8771008,187383.48631631202,85986.18983175584,10551.754537368377,15309.599851754383,111847.5442208786,18241.791597403895,1681.255975717362,2328555.9524555984,0.0,252554.57466723176,140707.03044635316,1854.2599488,0.0,0.0,1.0,-2.3285559524555985,-2328555.9524555984
8,5920.875731895652,1.85,3227.8191589565213,122489.88681914892,84086.47588357603,10205.677110637433,15594.137738596495,109886.29073280995,46984.872467314395,21863.0573053663,11257404.438341329,0.0,265760.2853988617,155873.99466605173,2138.2141536,0.0,0.0,1.0,-11.25740443834133,-11257404.43834133
9,4831.270726539131,1.97,3057.6744864,116033.2048744681,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,47687.20369031181,11829.769460827123,8317651.207279319,0.0,249845.7440495834,136565.10713006853,2223.0059039999996,0.0,0.0,1.0,-8.317651207279319,-8317651.207279319
10,3996.602144139131,1.98,2708.2993285565217,102775.05085957445,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538007,51174.22117122516,9779.996910592377,8051421.190300229,0.0,245944.614595458,131433.04776007793,1712.4018210782608,0.0,0.0,1.0,-8.051421190300228,-8051421.190300228
11,3000.70463666087,1.82,2288.9110626782613,86860.02629007092,92209.90206906517,9278.029588771047,15795.58666754386,117283.51832538006,54652.625877053375,10799.490095787272,8705109.61644152,0.0,248808.4569794967,131524.93865411665,2027.7595296,0.0,0.0,1.0,-8.705109616441518,-8705109.616441518
12,2739.553103582609,1.93,2339.950438956522,88796.87811347518,92859.1884018825,9169.003791343186,18456.2665437649,120484.4587369906,56199.534805510164,13108.092169089816,9552381.131277962,0.0,256892.3205966874,136407.86185969686,2314.835712,0.0,0.0,1.0,-9.552381131277961,-9552381.131277962
13,2714.438376626087,1.97,2464.6724064,93529.85072553191,95290.5873260382,8530.480186850396,33050.70162164341,136871.76913453202,35582.841208629616,0.0,3558284.1208629613,0.0,232816.40974702348,95944.64061249145,2758.47768,0.0,0.0,1.0,-3.558284120862962,-3558284.1208629617
