action,reward
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,-2.2274053890552477
1.0,-9.430311657210222
1.0,-7.961473305577191
1.0,-7.711789769490136
1.0,-8.411724409120211
1.0,-9.475787447353822
1.0,-3.450431567252437
1.0,-4.343943725789845
1.0,-4.648627725724221
1.0,-5.024733463011217
1.0,-5.01619868878285
1.0,-4.555015062323626
1.0,-5.07878911428118
1.0,-5.843716666726884
1.0,-4.244906383215233
1.0,-3.2118965290550126
1.0,-4.125719213255139
1.0,-4.4613950188977
1.0,-7.191722844892923
1.0,-4.568661820964775
1.0,-3.5419519001193644
1.0,-2.519396836034849
1.0,-4.851206199494129
1.0,-5.3091905566263105
1.0,-5.2360364269302035
1.0,-6.007821427861512
1.0,-2.1455435481072027
1.0,-5.468792970149581
1.0,-3.897013218105087
1.0,-1.627905085411244
1.0,-0.8999396881320476
1.0,-0.9140149276995406
1.0,-0.7046124357737007
1.0,-0.8874780586726629
1.0,-0.6741128824444581
1.0,-0.4911980470479409
1.0,-0.7782437669492489
1.0,-1.581102005791356
1.0,-3.4285837604426503
1.0,-2.500757790430052
1.0,-3.2124695945824246
1.0,-7.828723297838056
1.0,-6.507521696907299
1.0,-7.233487820831808
1.0,-9.911936106988456
1.0,-9.902328713662829
1.0,-10.543719486593718
1.0,-16.77127717140196
1.0,-25.994432854839
1.0,-17.488124169408753
1.0,-13.88178466592264
1.0,-18.406753885389815
1.0,-9.362469530462795
1.0,-12.255575847781456
1.0,-10.532282214957092
1.0,-8.619483145089882
1.0,-7.730457629630549
1.0,-5.550755875207257
1.0,-7.939101286408413
1.0,-5.820032531834856
1.0,-6.288375007747447
1.0,-6.372078889342816
1.0,-5.979614507097699
1.0,-7.447758804744242
1.0,-5.657775703262941
1.0,-6.4544431807570435
1.0,-7.180059558681641
1.0,-5.878745370709376
1.0,-4.836644966673105
1.0,-4.150519102471567
1.0,-4.109439681064154
1.0,-6.211343864994286
1.0,-4.663434705708373
1.0,-3.9044767486603917
1.0,-5.118823526198097
1.0,-5.112804024754504
1.0,-4.468585267570425
1.0,-4.425991568049886
1.0,-6.773859310380199
1.0,-2.441093389232059
1.0,-5.184014336845677
1.0,-3.7842609883624085
1.0,-1.793228546310125
1.0,-0.721450130378412
1.0,-1.1872191141855586
1.0,-1.078166844257759
1.0,-1.7732349135615098
1.0,-1.1597799208142194
1.0,-1.0458549500149203
1.0,-1.8465351753543162
1.0,-2.5574992014366993
1.0,-6.258685309855171
1.0,-4.325128442745985
1.0,-5.384582925708381
1.0,-11.830550546177628
1.0,-8.608675670837027
