1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
3034.55;523.45;221.95;9614.85;810.65;587.1;1828.35;806.4;531.7;785.85;687.35;2090.9;1170.3;741.3;486.05;3891.65;296.8;1556.7;769.2;413.15;1492.65;2071.5;1241.45;588.7;1251.35;272;419.85;2322.25;1515.7;456.7;276.15;1180.8;1934.7;1172.2;279.35;335.75;93.75;534.6;1533.1;729.35;529.6;271.2;989.8;474.3;327.95;625.25;1750.55;533.35;305.35;4455.5;1313.8;728.6;588.65;884.75;687.3;1255.15;585.65;6475.85;2019.3;341.3;3580.5;1799.95;4533.7;458.85;1843.2;1969.2;1117.25;1290.35;3040.55;1535.5;628.3;2015.55;2176.2;1276;1083.75;934.35;692.05;284.05;1106.35;1177.7;422.7;668.2;1365.7;4539.4;1765.65;1338.5;1346.2;567.7;1742.8;18583.8;764.7;277.5;2526.4;897.4;6863.7;5781;444;528.5;2460;1208;482;4197;1501.9;599;5263.3;2787.15;9495.75;12117;3083.15;969.35;4000.8;642.85;640.45;310.6;1828.235526
2040.65;625.6;203.65;8820.6;667.95;654.85;1559.25;655.7;328.95;813.85;525.65;4357.35;968.95;598.55;463.4;1776.2;435.2;956.3;507.35;326.5;2073.95;2915.7;1766.45;855.85;710.4;656;548.95;2784.05;1158.5;2903.8;336.45;1274.2;1746;755;194.65;1776.9;143.75;415.05;1463.05;1539.3;325.35;342.55;654.55;387.65;557.05;867;901.3;1584.35;371.55;3192;1066.55;588.05;768.6;617.7;794.25;781.2;582.15;2794.35;1564.2;362.5;5956;1829.95;4669.7;430.75;6228.2;2745.5;1181.85;2299.05;2723.95;1026.6;446.75;1174.05;1601.65;730.5;1372.25;2871.75;515.85;280;1661.4;1067.4;390.6;702.2;938.5;3436.5;2143.95;1596.1;2150.3;537.3;1106.7;16138.1;396.7;279.1;3251.7;633.2;3143.6;2600;481;721.5;1309;881.5;460;6999.8;1569.8;412;5627;2557.7;11383.65;6975.5;4169.9;1224.85;8485.35;734.1;637.35;236.95;1820.456579
1338.05;1203.95;302.6;5087.25;555;872.55;1224.6;498.7;289.65;737.75;558.45;2380.4;1001.7;883.6;544.25;914.15;1480.05;1202.35;347.35;248.1;1449.25;2116.1;2189.3;487.3;462.8;640.4;592.35;1742.1;686.4;3869.95;643.7;3718.65;1356.8;704.4;184.85;2128.85;108.55;1578.45;1958;1275.4;727.05;488.55;1051.25;386.05;1786.05;1959;583.55;2721.15;727.5;1507.1;859.2;582.8;1848.2;741.75;776.25;543.15;391.55;1709.35;1540.6;389;5161.35;1126.95;4267.65;725.8;5825.4;2127.3;2567.75;3799.35;3756.15;860.55;287.4;804.9;1818.4;678.6;1565.3;2992.5;402.15;342.85;3017.35;4622.85;478.3;729.3;488.8;1388.1;2151.1;831.55;3200.6;510;906;8665;449.9;372.5;4994.8;388.5;2547.9;1648;566;1383;1299.5;1193;671;6168.75;1232.2;331;5581.5;2014.9;7520.95;3202;5188.2;834.55;16852.85;1252.5;933.25;603.2;1791.337281
844.1;1478.35;234.05;2413.1;416.15;669;978.55;454.75;468.6;472.85;446.2;1170.5;774.05;690.05;1135.7;571.45;884;2606.1;357.8;811.65;828.9;1532.35;2058.65;354.25;423.05;592.85;766.75;4017.4;420.65;4503.2;641.3;3043.1;1053.6;1046.15;238.7;1936.95;80.4;3617.35;2037.75;1056.9;529.25;547.5;1652.1;393.85;2035.75;2815.4;715.65;2411.8;591;869;1330.2;432.3;1060.45;533.95;1420.15;456.2;267.8;3131.65;1169.8;526.15;1542.85;669.3;5630;641.6;5144.25;2690.45;1966.45;2821.3;4811.45;1713.6;273.05;816.05;2616.75;539.8;1057.75;1807.35;315.95;508.9;1344.65;7331.3;1315.55;1613.15;540.55;783.7;2540.9;536.9;2901.5;2964.2;909.9;6255.2;638.1;688.3;4762.7;524.7;2717.1;1340.5;424.5;820;1264;915;862.5;6030.4;835.5;542.5;2387.85;3099.35;5166.35;1648;3502.5;1828.5;14819.55;950.25;1373;1608.35;1705.009211
621.3;1629.4;408.65;1343.9;669.8;693.4;1861.75;702.65;1402.75;631.35;408.75;1153.9;1421.25;678.7;1186.3;387.2;892.7;2181.65;816.4;2614.2;1772.75;836.9;1720.15;386.55;399.35;815.35;682.85;1809.25;296.05;4546.4;777.25;2769.35;1128.85;1029.25;184.75;909.4;144.35;4250.1;1131;656.7;387.1;384.2;1822.95;454.1;1132.55;1316.5;659;4077.05;642.75;618.45;1445.4;406.8;623.85;419.35;2058.9;491.05;307.6;4142.15;1145.2;449.75;1201.5;656;9164.8;629.45;4499.1;2052.15;1203.35;2545.5;2840.6;5472.15;250.75;838.65;4385.95;603.9;1098.05;1779.05;315.4;774.05;1301.75;6577.2;2103.3;4589.8;456.45;1005.7;3777.55;900.4;1642.8;3897.9;881.7;10275.7;1537.5;398.7;5216.2;1786.8;1989.6;1206.5;1091.5;741;1205;589;1078;7847.25;1362.4;444.5;1501.6;9087.5;3329.5;1764;2053.7;3924.8;10130.1;771.9;3883.8;1474.65;1869.065351
539.25;2031.4;1181.55;935.05;914.55;653.65;3684.85;1701.5;1503.9;522.3;643.05;1250.7;1234.55;2635.55;1102.1;346.6;905;1080.15;877.45;1346.95;1145.35;737;885.15;738.15;799.4;1691;447.8;1047.4;289.9;4375.05;484.85;1904.45;2723.75;964.35;175.05;543.3;318;3486.15;2477.5;1016.9;319.45;301.1;1944.2;458.2;1240;855.6;1023.1;4516.95;1114.05;525.9;2019.25;351.85;512.3;461.7;2597.3;1249.95;388.7;2396.65;691.9;564.25;1863.85;2144;8609.6;522.65;8082.4;2571;1850;2113.75;2504.25;2654.25;239.55;653.95;5004.35;1133.25;1114.9;4044.05;526.25;1051.6;1604.85;4563.95;2949.15;2269.1;1310;833.6;2522.4;1479.35;1321.6;3525.8;4950.3;13154.8;3281.2;367.4;5360.5;1510.5;2466.2;1078;914;500;1182;679.5;739;13048.05;2317.8;1375;979.4;5738.45;2423.55;3146;1956.2;2230.4;5568.6;683.65;4047;432.25;1965.492982
914.6;1696.05;1831.35;1005.4;541.65;553.15;2981.8;1429.85;498.3;901.8;480.95;1225.85;1708.95;1805.9;931.25;416;1162.35;743.8;571.65;589.35;587.1;1511.7;410.95;1446.6;660.2;1809.6;309.85;695.7;374;4808.15;335.6;1624.35;5578.05;1722.9;189.3;433.45;247.95;4999;1737.55;782.8;344.55;295.15;1423.75;345.15;750.95;770.95;1564.2;2511;998.5;1852.5;3902.4;371.5;569.3;610.85;1412.45;905.25;588.4;1506.05;519.85;653.6;3291.7;1491;6172.45;491.1;7875.7;2524.65;1197.05;1205;7243.05;1615.15;428;536.1;5992.15;2777.65;1693.75;7589.75;1801.4;1039.9;1385.85;2124.6;1198.2;4374.75;935.9;1763.35;2193.1;2768.05;1197.3;5010.7;3671.1;13523.6;2020.4;489.5;4061;769.1;4890.7;898.5;372;362.5;836.5;526;586;6842.5;2985.6;717.5;930.1;2645;1855.25;3057;3548.75;1060.65;2240.2;1159.9;2167.4;365.3;1882.899561
1464.6;1035.65;1098.2;915.05;935.4;724.55;3055.05;1193;384.5;888.1;747.85;893.95;2547.9;767.9;549.2;582.65;945.15;541;365.65;542.75;426.95;1387.45;280.5;924.15;401.7;1917.8;345.7;477.75;1097.25;3176.95;361.3;1453.5;6439.25;763.05;267.45;329.7;242.15;2743.6;1394.6;1063.4;264.85;402.9;2149.25;362;584.85;703.15;1956.75;1261.85;669.8;2036.8;2152.1;863.65;781.05;434.9;1108.85;973.6;408;4472.4;642.35;487.2;5463.95;541.3;5458.95;815.75;9679.6;2606.7;750.25;1021.85;5762.75;983.4;487.05;593.5;2829.95;3142.05;5565.75;5617.25;3172.95;633.95;1728.45;991.1;944.8;3432.7;385.5;1608.6;1224.95;6712.65;1282.1;3295.4;4796.7;8396.3;1483.8;358.7;2923.6;733.4;3448.9;724;283.5;449.5;1257;672;825;9663.05;2661.4;990.5;1597.15;2718.4;2094.2;2960;5591;863.7;1678.6;1168.2;1558.55;266.25;1800.747368
1741;3196.05;699.8;2042.95;1889;802.55;3899;721.2;457.3;2159.45;768.65;1022.3;2340.2;485.1;515.45;425.85;991.45;591.65;353.35;1630;1422.3;795.45;257.5;715;696.75;2547.9;416.35;448.55;2780.6;1318.2;1047.1;1059.8;6181.65;860.05;301.25;507.05;330.65;1582.55;1017.3;2846.35;559.95;480.5;3613.25;399.4;598.15;2721.55;1214.8;817.8;503.4;1798.15;2041.7;821.95;736.85;592.2;966.9;1760;317.05;6367.3;936.65;374.6;3451.85;565.6;3034.75;1676.75;5965.6;1836.85;1068;1139.7;7474.85;548.2;941.5;657.15;2324.65;2247.9;8694.25;9712.55;1496.9;699.3;1703.05;1112.2;1632.9;2135.95;369.8;2540;1206.25;6626.95;2629.1;2536.6;4272.3;5373.6;904.7;442.2;3801.5;723.4;7139;660.5;349.5;697.5;4516.5;1070;1623.5;5505.2;2557.7;1945.5;3542.95;3415.85;2999.45;2163;3314.45;855.4;2608.5;690.9;739.25;1426.65;1937.324123
1233.1;4463.45;481.9;1231.15;2785.85;1283.05;3784.65;695.8;666.65;1500.55;980.75;946.65;1359.15;517.8;490.85;303.25;525.15;555.25;347.4;2272.7;2983.75;915.45;327.4;1906.6;1165.7;1500.35;1316.8;338.6;3423.45;2173.15;1737.2;631.6;3412.6;656.3;264.45;1284.1;326.2;1385.25;927.7;2211.4;651.7;615.85;2005.75;340.2;535.2;3780.2;684.55;511.85;430.25;1118.95;1480.75;1264.1;1157.65;482.65;1868.5;2479.85;323.8;7044.95;2288;317.95;1953.25;527.05;2020.15;1190.6;3669.75;1772.6;1457.95;3378.75;5780.6;512.85;994.65;1474.05;1386.5;1299.35;9618.25;5621.85;936.55;1335.05;822.85;760.55;1164.9;3303.35;287.55;4856;1319.95;3506.85;5028.2;2211;2367.2;10086;776.8;909.9;2313.2;1596.2;6343.2;515.5;324;616;8109.5;1107.5;2104.5;2375.9;2038.4;2481.5;2492.25;2006.2;2900.8;2103.5;3057.15;850.9;2005.35;520.55;607.95;1993.45;1890.265351
