1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3034.5499999999997,523.45,221.95,9614.85,810.65,587.1,1828.35,806.4000000000001,531.7,785.8499999999999,687.35,2090.9,1170.3,741.3000000000001,486.05,3891.6499999999996,296.8,1556.7,769.2,413.15,1492.65,2071.5,1241.45,588.6999999999999,1251.3500000000001,272.0,419.85,2322.25,1515.7,456.7,276.15,1180.8,1934.7,1172.2,279.35,335.75,93.75,534.6,1533.1000000000001,729.3499999999999,529.6,271.2,989.8000000000001,474.29999999999995,327.95,625.25,1750.55,533.35,305.35,4455.5,1313.8,728.5999999999999,588.65,884.75,687.3,1255.15,585.65,6475.849999999999,2019.3,341.3,3580.5,1799.95,4533.7,458.85,1843.1999999999998,1969.2,1117.25,1290.3500000000001,3040.55,1535.5,628.3000000000001,2015.55,2176.2,1276.0,1083.75,934.35,692.05,284.04999999999995,1106.35,1177.6999999999998,422.7,668.2,1365.7,4539.4,1765.6499999999999,1338.5,1346.2,567.7,1742.8,18583.8,764.7,277.5,2526.4,897.4,6863.7,5781.0,444.0,528.5,2460.0,1208.0,482.0,4197.0,1501.9,599.0,5263.299999999999,2787.15,9495.75,12117.0,3083.15,969.35,4000.8,642.85,640.4499999999999,310.6,437.3,4733.04
2040.6499999999999,625.6,203.64999999999998,8820.6,667.95,654.85,1559.25,655.7,328.95000000000005,813.85,525.65,4357.349999999999,968.9499999999999,598.55,463.40000000000003,1776.1999999999998,435.20000000000005,956.3,507.35,326.5,2073.95,2915.7,1766.45,855.85,710.4,656.0,548.9499999999999,2784.05,1158.5,2903.7999999999997,336.45,1274.2,1746.0,755.0,194.64999999999998,1776.9,143.75,415.05,1463.05,1539.3,325.34999999999997,342.54999999999995,654.55,387.65,557.05,867.0,901.3000000000001,1584.35,371.55,3192.0,1066.55,588.05,768.6,617.7,794.25,781.2,582.15,2794.35,1564.2,362.5,5956.0,1829.95,4669.7,430.75,6228.200000000001,2745.5,1181.85,2299.0499999999997,2723.95,1026.6,446.75,1174.05,1601.65,730.5,1372.25,2871.75,515.85,280.0,1661.4,1067.4,390.6,702.2,938.5,3436.5,2143.95,1596.1,2150.3,537.3,1106.7,16138.1,396.7,279.1,3251.7,633.2,3143.6,2600.0,481.0,721.5,1309.0,881.5,460.0,6999.799999999999,1569.8,412.0,5627.0,2557.7,11383.650000000001,6975.5,4169.9,1224.85,8485.349999999999,734.0999999999999,637.35,236.95,241.6,3004.53
1338.05,1203.9499999999998,302.6,5087.25,555.0,872.55,1224.6,498.7,289.65,737.75,558.45,2380.4,1001.7,883.6,544.25,914.15,1480.05,1202.35,347.34999999999997,248.1,1449.25,2116.1,2189.3,487.3,462.79999999999995,640.4,592.35,1742.1,686.4000000000001,3869.95,643.7,3718.65,1356.8000000000002,704.4,184.85000000000002,2128.85,108.55,1578.4499999999998,1958.0,1275.4,727.05,488.55,1051.25,386.04999999999995,1786.0500000000002,1959.0,583.55,2721.15,727.5,1507.1,859.2,582.8,1848.2,741.75,776.25,543.15,391.54999999999995,1709.3500000000001,1540.6,389.0,5161.35,1126.95,4267.650000000001,725.8,5825.4,2127.2999999999997,2567.75,3799.35,3756.1499999999996,860.55,287.4,804.9,1818.4,678.6,1565.3,2992.5,402.15,342.85,3017.35,4622.85,478.3,729.3,488.8,1388.1,2151.1,831.55,3200.6,510.0,906.0,8665.0,449.9,372.5,4994.8,388.5,2547.9,1648.0,566.0,1383.0,1299.5,1193.0,671.0,6168.75,1232.2,331.0,5581.5,2014.9,7520.95,3202.0,5188.200000000001,834.55,16852.85,1252.5,933.25,603.2,303.2,3755.83
844.1,1478.35,234.05,2413.1,416.15,669.0,978.55,454.75,468.6,472.85,446.2,1170.5,774.05,690.05,1135.7,571.45,884.0,2606.1000000000004,357.8,811.65,828.9,1532.3500000000001,2058.65,354.25,423.05,592.85,766.75,4017.3999999999996,420.65000000000003,4503.2,641.3000000000001,3043.1000000000004,1053.6,1046.15,238.7,1936.9499999999998,80.39999999999999,3617.35,2037.75,1056.9,529.25,547.5,1652.1000000000001,393.85,2035.75,2815.3999999999996,715.65,2411.8,591.0,869.0,1330.1999999999998,432.3,1060.4499999999998,533.9499999999999,1420.15,456.2,267.8,3131.6499999999996,1169.8,526.15,1542.8500000000001,669.3000000000001,5630.0,641.6,5144.25,2690.45,1966.45,2821.3,4811.45,1713.6,273.05,816.05,2616.75,539.8,1057.75,1807.35,315.95000000000005,508.9,1344.65,7331.3,1315.55,1613.1499999999999,540.55,783.7,2540.8999999999996,536.9,2901.5,2964.2,909.9,6255.2,638.1,688.3,4762.7,524.7,2717.1,1340.5,424.5,820.0,1264.0,915.0,862.5,6030.4,835.5,542.5,2387.85,3099.35,5166.35,1648.0,3502.5,1828.5,14819.550000000001,950.25,1373.0,1608.35,411.7,6333.53
621.3,1629.4,408.65000000000003,1343.9,669.8000000000001,693.4000000000001,1861.75,702.65,1402.75,631.35,408.75,1153.9,1421.25,678.6999999999999,1186.3,387.2,892.7,2181.65,816.4,2614.2,1772.75,836.9,1720.15,386.55,399.35,815.35,682.85,1809.25,296.05,4546.4,777.25,2769.3500000000004,1128.85,1029.25,184.75,909.4,144.35,4250.1,1131.0,656.7,387.09999999999997,384.2,1822.95,454.1,1132.55,1316.5,659.0,4077.05,642.75,618.45,1445.3999999999999,406.8,623.85,419.35,2058.9,491.05,307.6,4142.15,1145.2,449.75,1201.5,656.0,9164.8,629.4499999999999,4499.099999999999,2052.1499999999996,1203.35,2545.5,2840.6,5472.15,250.75,838.65,4385.950000000001,603.9,1098.05,1779.05,315.4,774.05,1301.75,6577.2,2103.3,4589.8,456.45,1005.7,3777.5499999999997,900.4000000000001,1642.8,3897.9,881.7,10275.7,1537.5,398.7,5216.2,1786.8,1989.6,1206.5,1091.5,741.0,1205.0,589.0,1078.0,7847.25,1362.4,444.5,1501.6,9087.5,3329.5,1764.0,2053.7,3924.7999999999997,10130.1,771.9000000000001,3883.8,1474.65,469.25,4062.785
539.25,2031.4,1181.55,935.05,914.55,653.6500000000001,3684.8500000000004,1701.5,1503.8999999999999,522.3,643.05,1250.7,1234.55,2635.55,1102.1,346.6,905.0,1080.15,877.45,1346.95,1145.35,737.0,885.15,738.15,799.4000000000001,1691.0,447.79999999999995,1047.4,289.9,4375.05,484.85,1904.4499999999998,2723.75,964.35,175.05,543.3000000000001,318.0,3486.15,2477.5,1016.9000000000001,319.45,301.1,1944.2,458.20000000000005,1240.0,855.5999999999999,1023.1,4516.95,1114.05,525.9,2019.25,351.85,512.3,461.7,2597.3,1249.95,388.7,2396.65,691.9,564.25,1863.85,2144.0,8609.6,522.65,8082.4,2571.0,1850.0,2113.75,2504.25,2654.25,239.54999999999998,653.95,5004.35,1133.25,1114.8999999999999,4044.05,526.25,1051.6,1604.8500000000001,4563.95,2949.15,2269.1,1310.0,833.6,2522.3999999999996,1479.3500000000001,1321.6,3525.8,4950.3,13154.8,3281.2,367.4,5360.5,1510.5,2466.2,1078.0,914.0,500.0,1182.0,679.5,739.0,13048.050000000001,2317.8,1375.0,979.4000000000001,5738.45,2423.55,3146.0,1956.2,2230.4,5568.6,683.6500000000001,4047.0,432.25,329.45000000000005,2025.77
914.6,1696.05,1831.35,1005.4000000000001,541.65,553.15,2981.7999999999997,1429.8500000000001,498.29999999999995,901.8000000000001,480.95,1225.85,1708.9499999999998,1805.9,931.25,416.0,1162.3500000000001,743.8,571.6500000000001,589.35,587.1,1511.7,410.95000000000005,1446.6000000000001,660.1999999999999,1809.6000000000001,309.85,695.7,374.0,4808.15,335.59999999999997,1624.35,5578.05,1722.9,189.3,433.45000000000005,247.95000000000002,4999.0,1737.55,782.8,344.54999999999995,295.15000000000003,1423.75,345.15000000000003,750.95,770.9499999999999,1564.1999999999998,2511.0,998.5,1852.5,3902.4,371.5,569.3,610.85,1412.45,905.25,588.4,1506.05,519.85,653.6,3291.7,1491.0,6172.450000000001,491.09999999999997,7875.700000000001,2524.65,1197.05,1205.0,7243.05,1615.15,428.0,536.1,5992.15,2777.6499999999996,1693.75,7589.75,1801.4,1039.9,1385.85,2124.6,1198.2,4374.75,935.9,1763.3500000000001,2193.1,2768.05,1197.3,5010.7,3671.1,13523.6,2020.4,489.5,4061.0,769.0999999999999,4890.7,898.5,372.0,362.5,836.5,526.0,586.0,6842.5,2985.6,717.5,930.0999999999999,2645.0,1855.25,3057.0,3548.75,1060.6499999999999,2240.2,1159.9,2167.4,365.3,357.95,1822.1399999999999
1464.6000000000001,1035.65,1098.2,915.05,935.4,724.5500000000001,3055.05,1193.0,384.5,888.1,747.8499999999999,893.95,2547.8999999999996,767.9000000000001,549.2,582.6500000000001,945.15,541.0,365.65,542.75,426.95,1387.45,280.5,924.15,401.7,1917.8,345.7,477.75,1097.25,3176.95,361.3,1453.5,6439.25,763.0500000000001,267.45,329.7,242.15,2743.6,1394.6,1063.4,264.85,402.9,2149.25,362.0,584.85,703.1500000000001,1956.75,1261.8500000000001,669.8,2036.8,2152.1,863.6500000000001,781.05,434.90000000000003,1108.85,973.5999999999999,408.0,4472.400000000001,642.35,487.20000000000005,5463.95,541.3,5458.950000000001,815.75,9679.6,2606.7,750.25,1021.8499999999999,5762.75,983.4,487.05,593.5,2829.95,3142.05,5565.75,5617.25,3172.9500000000003,633.95,1728.4499999999998,991.0999999999999,944.8,3432.7,385.5,1608.6,1224.9499999999998,6712.65,1282.1,3295.4,4796.7,8396.3,1483.8,358.7,2923.6,733.4,3448.9,724.0,283.5,449.5,1257.0,672.0,825.0,9663.05,2661.4,990.5,1597.1499999999999,2718.4,2094.2,2960.0,5591.0,863.6999999999999,1678.6,1168.2,1558.5500000000002,266.25,577.55,1596.8300000000002
1741.0,3196.05,699.8000000000001,2042.95,1889.0,802.5500000000001,3899.0,721.2,457.29999999999995,2159.45,768.6500000000001,1022.3,2340.2,485.09999999999997,515.45,425.85,991.45,591.6500000000001,353.35,1630.0,1422.3,795.45,257.5,715.0,696.75,2547.8999999999996,416.35,448.55,2780.6,1318.2,1047.1,1059.8,6181.65,860.05,301.25,507.05,330.65,1582.5500000000002,1017.3000000000001,2846.3500000000004,559.9499999999999,480.5,3613.25,399.40000000000003,598.15,2721.5499999999997,1214.8,817.8,503.4,1798.15,2041.7,821.9499999999999,736.85,592.2,966.9,1760.0,317.05,6367.3,936.6500000000001,374.6,3451.85,565.6,3034.75,1676.75,5965.599999999999,1836.8500000000001,1068.0,1139.7,7474.85,548.2,941.5,657.15,2324.65,2247.9,8694.25,9712.55,1496.8999999999999,699.3,1703.05,1112.2,1632.9,2135.95,369.8,2540.0,1206.25,6626.950000000001,2629.1,2536.6,4272.3,5373.6,904.7,442.2,3801.5,723.4,7139.0,660.5,349.5,697.5,4516.5,1070.0,1623.5,5505.2,2557.7,1945.5,3542.95,3415.85,2999.4500000000003,2163.0,3314.45,855.4,2608.5,690.9000000000001,739.25,1426.65,500.09999999999997,1900.585
1233.1,4463.45,481.90000000000003,1231.15,2785.85,1283.0500000000002,3784.6499999999996,695.8,666.65,1500.55,980.75,946.65,1359.1499999999999,517.8,490.85,303.25,525.15,555.25,347.4,2272.7000000000003,2983.75,915.45,327.40000000000003,1906.6000000000001,1165.6999999999998,1500.35,1316.8,338.59999999999997,3423.45,2173.15,1737.2,631.6,3412.6,656.3,264.45,1284.1,326.2,1385.25,927.7,2211.4,651.7,615.85,2005.75,340.2,535.2,3780.2000000000003,684.55,511.85,430.25,1118.9499999999998,1480.75,1264.1,1157.6499999999999,482.65000000000003,1868.5,2479.85,323.8,7044.95,2288.0,317.95,1953.25,527.05,2020.15,1190.6,3669.75,1772.6,1457.95,3378.75,5780.6,512.85,994.6500000000001,1474.05,1386.5,1299.35,9618.25,5621.85,936.55,1335.05,822.85,760.55,1164.9,3303.35,287.54999999999995,4856.0,1319.9499999999998,3506.85,5028.2,2211.0,2367.2,10086.0,776.8,909.9,2313.2,1596.2,6343.2,515.5,324.0,616.0,8109.5,1107.5,2104.5,2375.8999999999996,2038.4,2481.5,2492.25,2006.2,2900.8,2103.5,3057.15,850.9000000000001,2005.3500000000001,520.55,607.9499999999999,1993.45,711.75,1937.4
