//	APORTES	HIDRAULICOS	SEMANALES	1909-2024											
//	SE	GRABA	UN	ARCHIVO	DATOS.TXT	CON:	GUARDAR	COMO	----	TEXTO	CON	FORMATO	(DELIMITADO	POR	TABULACIONES)
//	LAS	CRONICAS	DEBEN	ESTAR	COMPLETAS	SI	SE	QUIERE	USAR	PARA	SERIES	HISTORICAS			
ID_ESTIMACION	2025Ab														
DURACION_PASO	SEMANA														
CANTIDAD_MAX_PASOS_ANUALES	52														
CANTIDAD_DE_CRONICAS	116														
CRONICA	PASO	APORTE-BONETE	APORTE-PALMAR	APORTE-SALTO	CMgBrasil-Sur	ENSO34									
1909	1	54.9	4.3	5950.7	0.33027	-0.29									
1909	2	50.4	3.4	3973.7	0.33027	-0.29									
1909	3	33.7	7.4	2593.9	0.33027	-0.29									
1909	4	42.2	2.7	1598.4	0.33027	-0.29									
1909	5	23.9	8.9	1177	0.33027	-0.29									
1909	6	17.3	15.8	1012.3	0.65342	-0.88									
1909	7	16.4	33	1730.4	0.65342	-0.88									
1909	8	12.8	87.4	2728.8	0.65342	-0.88									
1909	9	16.6	38.3	3372.2	0.65342	-0.88									
1909	10	48.8	15.8	2337	0.50464	-0.54									
1909	11	41.1	7.7	1930.6	0.50464	-0.54									
1909	12	38.3	2.7	1332	0.50464	-0.54									
1909	13	25.1	7.9	930.2	0.50464	-0.54									
1909	14	34.7	0.4	724.9	0.8109	-0.54									
1909	15	34.1	0.9	647.7	0.8109	-0.68									
1909	16	27.9	6.7	750.3	0.8109	-0.68									
1909	17	19.5	14.7	1254.6	0.8109	-0.68									
1909	18	42.3	2.4	1059.1	0.90951	-0.68									
1909	19	51.2	0	845.7	0.90951	-0.36									
1909	20	64.9	0	587.2	0.90951	-0.36									
1909	21	50.6	0	485.3	0.90951	-0.36									
1909	22	22.4	1.8	1730	1.04661	-0.36									
1909	23	33.4	3.7	3962.7	1.04661	-1.1									
1909	24	291.7	2.2	3415.5	1.04661	-1.1									
1909	25	303.4	5	3091.3	1.04661	-1.1									
1909	26	264.5	20.6	2425.8	1.00257	-1.1									
1909	27	237.9	122.1	2606.1	1.00257	-1									
1909	28	426.4	91	7563.7	1.00257	-1									
1909	29	1608.1	53.9	5107.6	1.00257	-1									
1909	30	1376.5	295.8	2390.3	1.00257	-1									
1909	31	742.4	1238.4	2390.3	1.06218	-1									
1909	32	1181.3	745.2	2802.2	1.06218	-0.97									
1909	33	1965	962.9	2490.8	1.06218	-0.97									
1909	34	1432.9	587.3	1568.5	1.06218	-0.97									
1909	35	519.3	551.5	1077.1	1.06218	-0.97									
1909	36	274.4	331.3	829.5	1.10871	-0.85									
1909	37	206.5	224.2	1366.3	1.10871	-0.85									
1909	38	170.1	68.6	4939.2	1.10871	-0.85									
1909	39	234.8	53	5750	1.10871	-0.85									
1909	40	209.6	67.8	6202.5	1.20922	-1.24									
1909	41	174.7	31.3	3619	1.20922	-1.24									
1909	42	129.2	13.2	4521.3	1.20922	-1.24									
1909	43	97.7	10.8	5464.5	1.20922	-1.24									
1909	44	68.5	11.5	2468	1.26635	-1.24									
1909	45	48.3	9.1	1590.3	1.26635	-1.5									
1909	46	38.7	12.1	1093.1	1.26635	-1.5									
1909	47	49	74.6	897.5	1.26635	-1.5									
1909	48	64.6	49.6	1221.7	1.07866	-1.5									
1909	49	70.1	17	1147.2	1.07866	-1.08									
1909	50	64.3	9.9	804.3	1.07866	-1.08									
1909	51	80.3	10.5	1196.5	1.07866	-1.08									
1909	52	58.9	31.9	1055.5	1.07866	-1.08									
1910	1	90.3	37.7	790.9	1.83541	-0.93									
1910	2	122.9	31.1	943.2	1.83541	-0.93									
1910	3	128.1	35.8	2080.1	1.83541	-0.93									
1910	4	305.7	30.4	2284.5	1.83541	-0.93									
1910	5	430.7	13.8	2369.8	1.83541	-0.93									
1910	6	431.1	0	3200.6	1.05525	-0.64									
1910	7	285	0	2822.1	1.05525	-0.64									
1910	8	114.9	0	1841.5	1.05525	-0.64									
1910	9	77.3	0	6237.5	1.05525	-0.64									
1910	10	65.4	0	8796.1	1.21802	-0.79									
1910	11	80.9	0	5146.1	1.21802	-0.79									
1910	12	78.6	0	2121.4	1.21802	-0.79									
1910	13	59.6	0	1305.1	1.21802	-0.79									
1910	14	42.3	0	4992.7	0.58367	-0.79									
1910	15	129.6	0	10580	0.58367	-1.17									
1910	16	653.3	0	12284.6	0.58367	-1.17									
1910	17	818.4	0	6859.9	0.58367	-1.17									
1910	18	544.3	0	6859.9	0.70788	-1.17									
1910	19	196.6	0	5507.3	0.70788	-1.41									
1910	20	157.5	0	2649.2	0.70788	-1.41									
1910	21	116	0	3588.1	0.70788	-1.41									
1910	22	199.5	0	3756.2	0.89535	-1.41									
1910	23	140.8	0	2189.8	0.89535	-1.04									
1910	24	95.8	0	3562.4	0.89535	-1.04									
1910	25	85.2	0	3330.1	0.89535	-1.04									
1910	26	81.2	0	9213.7	1.05989	-1.04									
1910	27	121.2	0	9017.3	1.05989	-0.88									
1910	28	141.3	0	3678.7	1.05989	-0.88									
1910	29	102.6	0	2195.2	1.05989	-0.88									
1910	30	103	0	2417.4	1.05989	-0.88									
1910	31	200	29.9	9062.8	0.89703	-0.88									
1910	32	168.3	36.6	10014.1	0.89703	-0.9									
1910	33	307.7	79.7	6030	0.89703	-0.9									
1910	34	540.8	164.1	7723.2	0.89703	-0.9									
1910	35	829.5	93.5	4923	0.89703	-0.9									
1910	36	1692.6	249.4	3740.6	0.68083	-1.29									
1910	37	1356	314.8	2914.7	0.68083	-1.29									
1910	38	757.9	249.8	3850.6	0.68083	-1.29									
1910	39	741.4	181	5231.9	0.68083	-1.29									
1910	40	593.3	0	4886.1	0.26268	-0.94									
