columna1, columna2
1394.34273,0
1488.57583,0
1327.85681,0
1343.06621,0
1472.81422,0
1632.30787,0
1712.49383,0
1753.57816,0
1853.79089,0
1510.54322,0
1654.09119,0
1708.74407,0
2027.48419,0
2035.57799,0
2875.89763,0
3911.05227,0
4443.95996,0
4130.67356,0
3886.75509,0
4213.50486,0
4351.77792,0
4726.68029,0
4689.88216,0
4268.44174,0
4837.45336,0
4994.52255,0
5809.76139,0
5706.57725,0
5462.63775,0
5526.72025,0
5764.73272,0
5731.93678,0
5525.04259,0
4901.60423,0
5025.84593,0
5398.2134,0
5976.19709,0
6326.75495,0
5824.13985,0
5698.69382,0
5638.02449,0
4999.87634,0
4168.7444,0
3509.86477,0
3090.66474,0
2862.145,0
2627.35638,0
2308.76878,0
2285.62861,0
2205.28487,0
2132.59843,0
1830.19317,0
1435.88461,0
1501.07679,0
1336.47126,0
1374.34752,0
1488.0394,0
1632.64445,0
1721.67627,0
1753.30994,0
1866.08673,0
1510.74833,0
1670.75211,0
1753.16794,0
2070.37766,0
2092.66585,0
2928.93596,0
3951.60017,0
4487.25312,0
4231.83819,0
4186.19946,0
4498.56551,0
4499.63837,0
4850.30141,0
4779.92373,0
4292.37604,0
4852.75743,0
5027.14493,0
5820.49528,0
5692.03576,0
5384.47655,0
5461.06001,0
5733.36726,0
5692.92981,0
5493.53514,0
4876.06589,0
5082.46573,0
5420.34382,0
5991.08569,0
6338.58799,0
5874.72743,0
5823.75068,0
5737.28531,0
5048.60218,0
4206.68377,0
3580.40548,0
3159.15965,0
2883.03427,0
2632.14745,0
2316.22097,0
2308.57419,0
2235.80886,0
2141.9702,0
1832.68074,0
