volumen,hidrologia,tiempo,aportes,vertimiento,volumen_turbinado
45000.0,2.0,0,1394.34273,0.0,3906.7466796734866
42487.59605032651,1.87,1,1488.5758300000002,0.0,3726.529890087601
40249.64199023891,1.97,2,1327.8568100000002,0.0,4442.620465099776
37134.87833513913,1.95,3,1343.06621,0.0,5454.330895052297
33023.61365008683,2.0,4,1472.81422,0.0,4635.843483190223
29860.584386896608,1.97,5,1632.30787,0.0,4168.195262993144
27324.696993903468,1.97,6,1712.4938300000001,0.0,5550.672052275048
23486.518771628416,1.94,7,1753.57816,0.0,3707.87222087314
21532.224710755272,2.13,8,1853.79089,0.0,4107.547810122666
19278.46779063261,2.06,9,1510.5432200000002,0.0,3598.7254187786
17190.28559185401,2.16,10,1654.09119,0.0,3463.48682896901
15380.889952885002,2.15,11,1708.74407,0.0,3465.90831204826
13623.725710836741,2.07,12,2027.48419,0.0,3594.581735495503
12056.628165341237,2.02,13,2035.57799,0.0,2528.3062725451346
11563.899882796102,2.05,14,2875.89763,0.0,2781.3875508725464
11658.409961923555,2.0,15,3911.05227,0.0,2965.6506206881936
12603.811611235364,1.89,16,4443.95996,0.0,3175.0549020879434
13872.71666914742,1.97,17,4130.67356,0.0,3349.135374516516
14654.254854630904,1.96,18,3886.75509,0.0,3368.924856003464
15172.08508862744,1.94,19,4213.50486,0.0,3452.415045030059
15933.17490359738,1.89,20,4351.77792,0.0,3774.8919208750017
16510.06090272238,1.84,21,4726.68029,0.0,3745.2306321449955
17491.510560577386,1.9,22,4689.88216,0.0,3625.6241938026906
18555.768526774697,2.05,23,4268.44174,0.0,3636.1372885587816
19188.072978215918,1.91,24,4837.45336,0.0,3779.512351396287
20246.01398681963,1.85,25,4994.52255,0.0,4833.009250223811
20407.527286595818,1.88,26,5809.76139,0.0,4391.983367761957
21825.305308833857,2.0,27,5706.577249999999,0.0,4285.085393446472
23246.79716538739,1.91,28,5462.63775,0.0,4042.514300731531
24666.920614655857,1.96,29,5526.72025,0.0,4303.530800827933
25890.110063827924,2.12,30,5764.73272,0.0,4249.273148870871
27405.569634957053,2.0,31,5731.93678,0.0,4185.253455117547
28952.252959839512,2.09,32,5525.04259,0.0,4492.645391430812
29984.6501584087,2.05,33,4901.60423,0.0,3167.573200619169
31718.681187789527,2.13,34,5025.84593,0.0,4171.239888463393
32573.287229326135,2.1,35,5398.2134,0.0,3759.186876462089
34212.31375286404,2.08,36,5976.197089999999,0.0,2700.5799465265172
37487.93089633753,2.07,37,6326.75495,0.0,2439.451898285908
41375.233948051624,2.01,38,5824.13985,0.0,2878.274839338163
44321.09895871346,1.92,39,5698.6938199999995,0.0,2672.3127535572658
47347.4800251562,2.12,40,5638.02449,0.0,3228.488830314719
49757.01568484148,2.0,41,4999.87634,0.0,2693.9322461934034
52062.95977864807,2.11,42,4168.7444,0.0,2436.504751043051
53795.19942760503,2.18,43,3509.86477,0.0,2432.264817398752
54872.79938020627,2.1,44,3090.6647400000006,0.0,2869.4385331850444
55094.02558702123,2.06,45,2862.145,0.0,3467.128624186486
54489.04196283474,2.02,46,2627.35638,0.0,2774.4409050464246
54341.95743778831,1.99,47,2308.76878,0.0,2780.1667434792976
53870.55947430901,1.89,48,2285.62861,0.0,3733.091267915224
52423.09681639379,1.94,49,2205.28487,0.0,3278.886669332303
51349.4950170615,1.83,50,2132.59843,0.0,3399.4465246252907
50082.6469224362,1.91,51,1830.19317,0.0,3723.1624568599746
48189.67763557622,1.88,52,1435.88461,0.0,3643.8763825075503
45981.685863068684,1.83,53,1501.07679,0.0,3522.506831603784
43960.25582146489,1.82,54,1336.4712599999998,0.0,4230.507139410114
41066.21994205478,2.03,55,1374.34752,0.0,5318.927324747909
37121.64013730687,2.05,56,1488.0394000000001,0.0,4390.80609958561
34218.87343772126,2.05,57,1632.64445,0.0,4053.528322879215
31797.989564842046,2.13,58,1721.6762699999997,0.0,4806.1026507762945
28713.563184065755,2.25,59,1753.30994,0.0,3469.765638677416
26997.107485388333,2.34,60,1866.08673,0.0,3935.08761453826
