volumen_discreto,hidrologia,tiempo,volumen,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,energia_exportada,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,action,reward
15,2,0,45000.0,4023.3156923076926,152677.53846153847,89498.12267082525,10847.177165782274,14205.472175438588,114550.7720120461,0,0,4423.582753873896,0,0.0,262804.7277197107,148253.95570766457,1394.34273,0,23,0.0
14,2,1,42371.02703769231,3848.388923076923,146039.38461538462,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0,0,4624.329438449233,0,0.0,259686.40768585046,141415.0551769354,1488.57583,0,22,0.0
13,1,2,40011.21394461539,4548.096,172591.99999999997,90659.82803868594,11002.30343492352,14518.368923684202,116180.50039729367,0,0,4002.605380251276,0,0.0,284769.89501704235,168589.3946197487,1327.85681,0,26,0.0
12,3,3,36790.97475461539,5597.656615384615,212420.92307692306,90554.62452678141,10732.967364716964,14566.054130701754,115853.64602220013,0,0,5438.951315802347,0,0.0,322835.61778332083,206981.97176112072,1343.06621,0,32,0.0
10,4,4,32536.384349230775,4723.022769230769,179230.15384615384,85031.2477209428,10716.475757573358,14637.513606140346,110385.2370846565,0,0,3308.2958970764594,0,0.0,286307.0950337339,175921.85794907738,1472.81422,0,27,0.0
9,4,5,29286.175800000005,4198.242461538462,159315.6923076923,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,0,0,1140.2367257273,0,0.0,271219.28310519754,158175.455581965,1632.30787,0,24,0.0
8,4,6,26720.241208461543,5597.656615384615,212420.92307692306,84982.77061434375,10693.418996498953,14763.392324561399,110439.5819354041,0,0,1782.9790128014865,0,0.0,321077.5259995257,210637.94406412158,1712.49383,0,32,0.0
7,4,7,22835.078423076928,3848.388923076923,146039.38461538462,85986.18983175584,10551.754537368377,15309.599851754381,111847.5442208786,0,0,5332.35416903146,0,0.0,252554.57466723176,140707.03044635316,1753.57816,0,22,0.0
6,3,8,20740.267660000005,4198.242461538462,159315.6923076923,84086.47588357603,10205.677110637433,15594.137738596493,109886.29073280995,0,0,3441.6976416405814,0,0.0,265760.2853988617,155873.99466605173,1853.79089,0,24,0.0
6,2,9,18395.816088461543,3673.462153846154,139401.23076923078,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,0,0,2836.1236391622515,0,0.0,249845.74404958336,136565.10713006853,1510.54322,0,21,0.0
5,1,10,16232.897154615388,3498.5353846153844,132763.0769230769,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538006,0,0,1330.0291629989806,0,0.0,245944.61459545797,131433.04776007793,1654.09119,0,20,0.0
4,0,11,14388.452960000002,3498.5353846153844,132763.0769230769,92209.90206906515,9278.029588771047,15795.58666754386,117283.51832538006,0,0,1238.1382689602615,0,0.0,248808.4569794967,131524.93865411665,1708.74407,0,20,0.0
4,0,12,12598.661645384618,3673.462153846154,139401.23076923078,92859.18840188251,9169.003791343186,18456.2665437649,120484.4587369906,0,0,2993.3689095339214,0,0.0,256892.32059668744,136407.86185969686,2027.48419,0,21,0.0
3,1,13,10952.683681538463,2623.9015384615386,99572.3076923077,95290.58732603819,8530.480186850396,33050.70162164341,136871.76913453202,0,0,3627.667079816267,0,0.0,232816.40974702346,95944.64061249144,2035.57799,0,15,0.0
3,1,14,10364.360133076925,2798.8283076923076,106210.46153846153,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,0,0,661.8451107971778,0,0.0,246622.79107341048,105548.61642766435,2875.89763,0,16,0.0
3,3,15,10441.429455384618,2973.755076923077,112848.61538461539,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,0,0,307.54942518605094,0,0.0,249188.23580714918,112541.06595942934,3911.05227,0,17,0.0
3,3,16,11378.726648461541,3323.6086153846154,126124.92307692308,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,0,0,5637.344173319827,0,0.0,251752.38877616858,120487.57890360325,4443.95996,0,19,0.0
4,3,17,12499.077993076926,3498.5353846153844,132763.0769230769,98434.05050166651,6757.079140633997,21224.44183295923,126415.57147525974,0,0,5669.45960309192,0,0.0,253509.18879524473,127093.61731998499,4130.67356,0,20,0.0
4,2,18,13131.216168461542,3498.5353846153844,132763.0769230769,98975.04493142634,6723.902763309068,25968.47947897232,131667.42717370772,0,0,4918.484648122743,0,0.0,259512.0194486619,127844.59227495416,3886.75509,0,20,0.0
4,4,19,13519.435873846158,3498.5353846153844,132763.0769230769,98037.6221467726,6354.5806597072415,34253.7348904101,138645.93769688995,0,0,1750.183296419098,0,0.0,269658.83132354775,131012.89362665781,4213.50486,0,20,0.0
4,3,20,14234.405349230772,3848.388923076923,146039.38461538462,97409.03202198535,5966.749727093678,35096.533702179564,138472.3154512586,0,0,2789.0780238662555,0,0.0,281722.62204277696,143250.30659151837,4351.77792,0,22,0.0
4,3,21,14737.794346153849,3848.388923076923,146039.38461538462,98814.04396127017,5886.59032116912,34915.35802257658,139615.99230501588,0,0,3914.6701715450326,0,0.0,281740.7067488555,142124.7144438396,4726.68029,0,22,0.0
5,1,22,15616.085713076925,3673.462153846154,139401.23076923078,98220.28704362443,5700.530551199278,35017.87632551271,138938.69392033643,0,0,1815.3638797029562,0,0.0,276524.56080986426,137585.86688952782,4689.88216,0,21,0.0
5,3,23,16632.505719230772,3673.462153846154,139401.23076923078,98854.63909287953,5691.159953817383,35550.51846960261,140096.31751629955,0,0,1416.4109881757468,0,0.0,278081.1372973546,137984.81978105503,4268.44174,0,21,0.0
5,3,24,17227.485305384616,3848.388923076923,146039.38461538462,104690.69883044781,5569.164730104099,36640.267961321035,146900.13152187294,0,0,2613.7410598862334,0,0.0,290325.77507737133,143425.6435554984,4837.45336,0,22,0.0
6,2,25,18216.549742307692,4897.949538461538,185868.3076923077,104382.0148129037,5429.313546577172,36310.39745348857,146121.72581296944,0,0,2464.3662375477143,0,0.0,329525.6672677294,183403.94145475997,4994.52255,0,28,0.0
6,3,26,18313.122753846154,4548.096,172591.99999999997,106816.05281652318,5738.184090648205,34600.92987232152,147155.16677949292,0,0,5924.1914469765325,0,0.0,313822.97533251636,166667.80855302344,5809.76139,0,26,0.0
6,4,27,19574.788143846155,4373.169230769231,165953.84615384616,105570.85574992995,5961.318488980013,35113.18863366362,146645.3628725736,0,0,3342.621978781797,0,0.0,309256.58704763796,162611.22417506436,5706.57725,0,25,0.0
6,4,28,20908.196163076922,4198.242461538462,159315.6923076923,108730.43283364398,5763.893484376082,34304.426268943746,148798.75258696382,0,0,5909.601453001378,0,0.0,302204.84344165475,153406.09085469093,5462.63775,0,24,0.0
7,4,29,22172.591451538457,4373.169230769231,165953.84615384616,105710.5229317552,6405.6144499270995,34658.5686623392,146774.7060440215,0,0,2642.6522000478,0,0.0,310085.89999781986,163311.19395379836,5526.72025,0,25,0.0
7,2,30,23326.142470769228,4373.169230769231,165953.84615384616,106832.62021303737,6755.84926381601,35019.157293632656,148607.62677048604,0,0,4701.631752496352,0,0.0,309859.84117183584,161252.2144013498,5764.73272,0,25,0.0
8,3,31,24717.705959999996,4198.242461538462,159315.6923076923,112963.317808136,6912.495966710932,34636.09143758985,154511.90521243677,0,0,492.9092517393001,0,0.0,313334.6882683898,158822.783055953,5731.93678,0,24,0.0
8,1,32,26251.400278461533,4548.096,172591.99999999997,111681.42711469864,6849.887804579319,34441.76708218248,152973.08200146045,0,0,2104.250093703624,0,0.0,323460.8319077568,170487.74990629635,5525.04259,0,26,0.0
9,1,33,27228.346868461533,3323.6086153846154,126124.92307692308,107779.19993502216,7307.814717086226,32995.00888109761,148082.023533206,0,0,5921.261183844399,0,0.0,268285.6854262847,120203.66189307868,4901.60423,0,19,0.0
9,1,34,28806.342483076918,4198.242461538462,159315.6923076923,108649.10494879776,7909.894347552579,32997.27884153994,149556.27813789027,0,0,1024.6987073650816,0,0.0,307847.2717382175,158290.99360032723,5025.84593,0,24,0.0
9,1,35,29633.945951538455,3848.388923076923,146039.38461538462,109305.83774373586,7929.533467364118,32767.710565039084,150003.08177613906,0,0,3385.055994716793,0,0.0,292657.4103968069,142654.32862066783,5398.2134,0,22,0.0
10,1,36,31183.770428461532,2798.8283076923076,106210.46153846153,114300.0067239174,8524.156211579264,32083.372775819946,154907.5357113166,0,0,3728.3472359259904,0,0.0,257389.65001385214,102482.11430253554,5976.19709,0,16,0.0
11,0,37,34361.13921076922,2448.974769230769,92934.15384615384,116709.79191836771,8237.11335634511,32138.754736952975,157085.6600116658,0,0,361.3756926229107,0,0.0,249658.43816519674,92572.77815353093,6326.75495,0,14,0.0
12,0,38,38238.91939153845,2973.755076923077,112848.61538461539,116894.20438616359,8752.13665806451,31710.193294999768,157356.53433922786,0,0,3623.301963119404,0,0.0,266581.84776072385,109225.31342149599,5824.13985,0,17,0.0
13,0,39,41089.30416461537,2798.8283076923076,106210.46153846153,110322.89665027641,9054.746042873534,31879.889942467347,151257.5326356173,0,0,4801.035976214014,0,0.0,252666.95819786482,101409.42556224752,5698.69382,0,16,0.0
14,0,40,43989.16967692306,3323.6086153846154,126124.92307692308,108176.90193784745,9864.239537116413,31227.34317938806,149268.48465435192,0,0,3609.6234434768994,0,0.0,271783.7842877981,122515.29963344618,5638.02449,0,19,0.0
15,0,41,46303.58555153845,2798.8283076923076,106210.46153846153,104422.57659378197,10529.749504988575,31504.85887353122,146457.18497230177,0,0,3980.61541493822,0,0.0,248687.03109582508,102229.84612352331,4999.87634,0,16,0.0
16,0,42,48504.63358384614,2448.974769230769,92934.15384615384,107996.14741250093,10636.545500075908,30752.21296938665,149384.9058819635,0,0,473.21458893010276,0,0.0,241845.84513918724,92460.93925722374,4168.7444,0,14,0.0
16,2,43,50224.40321461536,2448.974769230769,92934.15384615384,108368.16162633839,10773.160558117666,31590.321507513345,150731.6436919694,0,0,634.1123860603548,0,0.0,243031.68515206288,92300.04146009349,3509.86477,0,14,0.0
17,2,44,51285.29321538459,2973.755076923077,112848.61538461539,102923.50995295042,10848.06160390814,32262.107988332133,146033.67954519068,0,0,3958.623766260527,0,0.0,254923.67116354554,108889.99161835486,3090.66474,0,17,0.0
17,2,45,51402.20287846151,3498.5353846153844,132763.0769230769,104473.43194198546,10923.442250445485,32514.58053801845,147911.4547304494,0,0,1191.8296350702294,0,0.0,279482.70201845607,131571.24728800668,2862.145,0,20,0.0
16,1,46,50765.812493846126,2798.8283076923076,106210.46153846153,104133.89710660212,11090.618849065764,32307.28314069009,147531.79909635798,0,0,925.4577294450719,0,0.0,252816.80290537444,105285.00380901646,2627.35638,0,16,0.0
16,2,47,50594.34056615381,2798.8283076923076,106210.46153846153,101779.74723093814,11212.704877708185,34387.941797698426,147380.39390634475,0,0,708.1725387176848,0,0.0,252882.6829060886,105502.28899974385,2308.76878,0,16,0.0
16,1,48,50104.2810384615,3848.388923076923,146039.38461538462,99174.28621582552,11568.319282368753,35193.49844685015,145936.10394504442,0,0,4375.337042065075,0,0.0,287600.151518364,141664.04757331955,2285.62861,0,22,0.0
16,1,49,48541.52072538458,3323.6086153846154,126124.92307692308,99338.40944907123,11291.319964265569,34924.236809625756,145553.96622296254,0,0,1697.1167963606567,0,0.0,269981.77250352496,124427.80628056242,2205.28487,0,19,0.0
15,1,50,47423.196979999964,3498.5353846153844,132763.0769230769,97313.17091924294,11329.20102259438,35295.99925486828,143938.37119670562,0,0,3760.242642945581,0,0.0,272941.20547683694,129002.83428013133,2132.59843,0,20,0.0
15,1,51,46057.26002538458,3848.388923076923,146039.38461538462,94055.30850885545,11043.135413804714,35184.48269391482,140282.926616575,0,0,4752.117426130746,0,0.0,281570.19380582887,141287.26718925388,1830.19317,0,22,0.0
14,1,52,44039.06427230766,3673.462153846154,139401.23076923078,92467.96306251167,11350.593319777001,36432.24441620002,140250.8007984887,0,0,1122.7263995466055,0,0.0,278529.30516817287,138278.50436968417,1435.88461,0,21,0.0
13,2,53,41801.48672846151,3673.462153846154,139401.23076923078,92077.1464552851,11269.442481945203,36251.92264326596,139598.51158049627,0,0,5728.480880011135,0,0.0,273271.2614697159,133672.74988921965,1501.07679,0,21,0.0
13,1,54,39629.10136461536,4373.169230769231,165953.84615384616,90611.44799048477,11377.655082999983,36257.837276160855,138246.94034964562,0,0,5413.767799064197,0,0.0,298787.0187044276,160540.07835478196,1336.47126,0,25,0.0
12,2,55,36592.40339384613,5422.729846153846,205782.76923076922,88359.82409203946,11416.239695997296,35889.021960530175,135665.08574856693,0,0,3939.1175503976992,0,0.0,337508.73742893845,201843.65168037152,1374.34752,0,31,0.0
10,1,56,32544.021067692283,4548.096,172591.99999999997,86433.12223115128,11103.806498983273,36190.64757729516,133727.57630742973,0,0,5968.866640528315,0,0.0,300350.7096669014,166623.13335947166,1488.0394,0,26,0.0
9,1,57,29483.964467692284,4198.242461538462,159315.6923076923,83446.21612304743,11016.439249456647,36716.177360995935,131178.8327335,0,0,5491.639274869463,0,0.0,285002.88576632284,153824.05303282285,1632.64445,0,24,0.0
8,0,58,26918.36645615382,4897.949538461538,185868.3076923077,86948.75525617333,11243.952255964494,36381.77820882268,134574.4857209605,0,0,3485.4229196946544,0,0.0,316957.37049357354,182382.88477261303,1721.67627,0,28,0.0
7,0,59,23742.09318769228,3498.5353846153844,132763.0769230769,86270.37463503586,11112.640300029934,36456.29165863506,133839.30659370084,0,0,1091.759714598331,0,0.0,265510.6238021794,131671.31720847858,1753.30994,0,20,0.0
7,0,60,21996.867743076895,4023.3156923076926,152677.53846153847,85204.61999868434,10813.929831108317,36624.74911774642,132643.29894753906,0,0,3348.095642304368,0,0.0,281972.74176677316,149329.4428192341,1866.08673,0,23,0.0
