volumen_discreto,volumen,hidrologia,tiempo,aportes,vertimiento,turbinado
15.0,45000.0,2.0,0,1394.34273,0.0,4023.315692307692
14.0,42371.0270376923,1.83,1,1488.5758300000002,0.0,3848.388923076923
13.0,40011.21394461539,1.83,2,1327.8568100000002,0.0,4548.096
12.0,36790.97475461539,1.68,3,1343.06621,0.0,5597.656615384616
10.0,32536.384349230775,1.69,4,1472.81422,0.0,4723.022769230769
9.0,29286.175800000005,1.6,5,1632.30787,0.0,4198.242461538462
8.0,26720.241208461543,1.68,6,1712.4938300000001,0.0,5597.656615384616
7.0,22835.078423076928,1.63,7,1753.57816,0.0,3848.388923076923
6.0,20740.267660000005,1.55,8,1853.79089,0.0,4198.242461538462
6.0,18395.816088461543,1.68,9,1510.5432200000002,0.0,3673.4621538461533
5.0,16232.897154615388,1.71,10,1654.09119,0.0,3498.5353846153844
4.0,14388.452960000002,1.74,11,1708.74407,0.0,3498.5353846153844
4.0,12598.661645384616,1.81,12,2027.48419,0.0,3673.4621538461533
3.0,10952.683681538463,1.79,13,2035.57799,0.0,2623.9015384615386
3.0,10364.360133076925,1.78,14,2875.89763,0.0,2798.828307692308
3.0,10441.429455384618,1.84,15,3911.05227,0.0,2973.755076923077
3.0,11378.726648461541,1.98,16,4443.95996,0.0,3323.6086153846154
4.0,12499.077993076926,1.98,17,4130.67356,0.0,3498.5353846153844
4.0,13131.216168461542,1.92,18,3886.75509,0.0,3498.5353846153844
4.0,13519.435873846158,1.94,19,4213.50486,0.0,3498.5353846153844
4.0,14234.40534923077,2.08,20,4351.77792,0.0,3848.388923076923
4.0,14737.794346153847,2.22,21,4726.68029,0.0,3848.388923076923
5.0,15616.085713076924,2.21,22,4689.88216,0.0,3673.4621538461533
5.0,16632.505719230772,2.17,23,4268.44174,0.0,3673.4621538461533
5.0,17227.485305384616,2.18,24,4837.45336,0.0,3848.388923076923
6.0,18216.549742307692,2.08,25,4994.52255,0.0,4897.949538461538
6.0,18313.122753846154,2.12,26,5809.76139,0.0,4548.096
6.0,19574.788143846155,2.41,27,5706.577249999999,0.0,4373.169230769231
6.0,20908.196163076922,2.43,28,5462.63775,0.0,4198.242461538462
7.0,22172.591451538457,2.2,29,5526.72025,0.0,4373.169230769231
7.0,23326.142470769224,2.13,30,5764.73272,0.0,4373.169230769231
8.0,24717.705959999996,2.22,31,5731.93678,0.0,4198.242461538462
8.0,26251.400278461533,2.07,32,5525.04259,0.0,4548.096
9.0,27228.346868461533,2.12,33,4901.60423,0.0,3323.6086153846154
9.0,28806.342483076918,2.05,34,5025.84593,0.0,4198.242461538462
9.0,29633.945951538455,2.03,35,5398.2134,0.0,3848.388923076923
10.0,31183.770428461532,1.96,36,5976.197089999999,0.0,2798.828307692308
11.0,34361.13921076922,1.86,37,6326.75495,0.0,2448.974769230769
12.0,38238.91939153845,1.76,38,5824.13985,0.0,2973.755076923077
13.0,41089.30416461537,1.77,39,5698.6938199999995,0.0,2798.828307692308
14.0,43989.16967692306,1.86,40,5638.02449,0.0,3323.6086153846154
15.0,46303.58555153845,2.07,41,4999.87634,0.0,2798.828307692308
16.0,48504.63358384614,2.12,42,4168.7444,0.0,2448.974769230769
16.0,50224.40321461536,2.07,43,3509.86477,0.0,2448.974769230769
17.0,51285.2932153846,2.08,44,3090.6647400000006,0.0,2973.755076923077
17.0,51402.20287846151,2.09,45,2862.145,0.0,3498.5353846153844
