volumen_discreto,hidrologia,tiempo,volumen,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,energia_exportada,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,action,reward
15,2,0,45000.0,6472.290461538461,245611.6923076923,89498.12267082525,10847.177165782274,14205.472175438588,114550.7720120461,0.0,0.0,97357.73660002774,0.0,0.0,262804.7277197107,148253.95570766457,1168.89696,0.0,37,0.0
13,3,1,39696.60649846154,6122.436923076923,232335.38461538462,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0.0,0.0,90920.32943844923,0.0,0.0,259686.40768585046,141415.0551769354,1926.1065600000002,0.0,35,0.0
11,2,2,35500.276135384614,6297.363692307693,238973.5384615385,90659.82803868594,11002.30343492352,14518.368923684202,116180.50039729367,0.0,0.0,70384.1438417898,0.0,0.0,284769.89501704235,168589.3946197487,1219.63968,0.0,36,0.0
10,1,3,30422.552123076923,6647.217230769231,252249.84615384616,90554.62452678141,10732.967364716964,14566.054130701754,115853.64602220013,0.0,0.0,45267.87439272544,0.0,0.0,322835.61778332083,206981.97176112072,701.4470400000001,0.0,38,0.0
8,1,4,24476.78193230769,4723.022769230769,179230.15384615384,85031.2477209428,10716.475757573358,14637.513606140346,110385.2370846565,0.0,0.0,3308.2958970764594,0.0,0.0,286307.0950337339,175921.85794907738,802.02528,0.0,27,0.0
6,0,5,20555.784443076926,5772.583384615385,219059.07692307694,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,0.0,0.0,60883.621341111924,0.0,0.0,271219.28310519754,158175.455581965,454.5072,0.0,33,0.0
5,1,6,15237.708258461542,6822.144,258888.0,84982.77061434375,10693.418996498953,14763.392324561399,110439.5819354041,0.0,0.0,48250.05593587842,0.0,0.0,321077.5259995257,210637.94406412158,726.72768,0.0,39,0.0
3,3,7,9142.291938461542,6122.436923076923,232335.38461538462,85986.18983175584,10551.754537368377,15309.599851754381,111847.5442208786,0.0,0.0,91628.35416903146,0.0,0.0,252554.57466723176,140707.03044635316,1968.50304,0.0,35,0.0
1,2,8,4988.358055384619,4548.096,172591.99999999997,84086.47588357603,10205.677110637433,15594.137738596493,109886.29073280995,0.0,0.0,16718.00533394824,0.0,0.0,265760.2853988617,155873.99466605173,1379.12544,0.0,26,0.0
0,1,9,1819.3874953846191,1819.3874953846191,69042.45789961825,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,67522.64923045028,0.0,0.0,6752264.923045028,0.0,249845.74404958336,136565.10713006853,865.34784,0.0,15,-6.752264923045028
0,1,10,865.34784,865.34784,32838.38212765958,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538006,84000.0,14594.665632418357,0.0,12778399.689725507,0.0,245944.61459545797,131433.04776007793,862.50528,0.0,34,-12.778399689725507
0,1,11,862.50528,862.50528,32730.512127659575,92209.90206906515,9278.029588771047,15795.58666754386,117283.51832538006,84000.0,14794.426526457071,0.0,12838327.957937121,0.0,248808.4569794967,131524.93865411665,826.21728,0.0,35,-12.838327957937121
0,0,12,826.21728,826.21728,31353.44829787234,92859.18840188251,9169.003791343186,18456.2665437649,120484.4587369906,84000.0,21054.41356182452,0.0,14716324.068547357,0.0,256892.32059668744,136407.86185969686,475.31232000000006,0.0,32,-14.716324068547356
0,0,13,475.31232000000006,475.31232000000006,18037.241063829788,95290.58732603819,8530.480186850396,33050.70162164341,136871.76913453202,77907.39954866165,0.0,0.0,7790739.954866164,0.0,232816.40974702346,95944.64061249144,428.8032,0.0,28,-7.790739954866164
0,0,14,428.8032,428.8032,16272.30425531915,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,84000.0,5276.312172345206,0.0,9982893.651703563,0.0,246622.79107341048,105548.61642766435,437.27039999999994,0.0,15,-9.982893651703563
0,0,15,437.27039999999994,437.27039999999994,16593.619148936166,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,84000.0,11947.446810493173,0.0,11984234.043147951,0.0,249188.23580714918,112541.06595942934,474.70752,0.0,32,-11.984234043147952
0,1,16,474.70752,474.70752,18014.29,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,84000.0,18473.288903603243,0.0,13941986.671080973,0.0,251752.38877616858,120487.57890360325,1110.29184,0.0,10,-13.941986671080972
0,1,17,1110.29184,1110.29184,42133.56297872341,98434.05050166651,6757.079140633997,21224.44183295923,126415.57147525974,84000.0,960.0543412615807,0.0,8688016.302378474,0.0,253509.18879524473,127093.61731998499,1184.5691686956523,0.0,7,-8.688016302378474
0,0,18,1184.5691686956523,1184.5691686956523,44952.25297872341,98975.04493142634,6723.902763309068,25968.47947897232,131667.42717370772,82892.33929623076,0.0,0.0,8289233.929623076,0.0,259512.0194486619,127844.59227495416,465.2726400000001,0.0,9,-8.289233929623077
0,0,19,465.2726400000001,465.2726400000001,17656.253404255323,98037.6221467726,6354.5806597072415,34253.7348904101,138645.93769688995,84000.0,29356.640222402493,0.0,17206992.066720746,0.0,269658.83132354775,131012.89362665781,510.63264000000004,0.0,9,-17.206992066720748
0,2,20,510.63264000000004,510.63264000000004,19377.583191489364,97409.03202198535,5966.749727093678,35096.533702179564,138472.3154512586,84000.0,39872.723400029005,0.0,20361817.0200087,0.0,281722.62204277696,143250.30659151837,3305.95776,0.0,20,-20.3618170200087
1,2,21,3305.95776,2448.974769230769,92934.15384615384,98814.04396127017,5886.59032116912,34915.35802257658,139615.99230501588,49190.56059768575,0.0,0.0,4919056.059768574,0.0,281740.7067488555,142124.7144438396,3529.128960000001,0.0,14,-4.919056059768574
1,2,22,4386.111950769231,3673.462153846154,139401.23076923078,98220.28704362443,5700.530551199278,35017.87632551271,138938.69392033643,0.0,0.0,1815.3638797029562,0.0,0.0,276524.56080986426,137585.86688952782,3379.19904,0.0,21,0.0
1,0,23,4091.848836923077,4091.848836923077,155278.24708674307,98854.63909287953,5691.159953817383,35550.51846960261,140096.31751629955,0.0,0.0,17293.427305688034,0.0,0.0,278081.1372973546,137984.81978105503,959.2864278260871,0.0,25,0.0
0,0,24,959.2864278260871,959.2864278260871,36403.18127659575,104690.69883044781,5569.164730104099,36640.267961321035,146900.13152187294,84000.0,23022.462278902647,0.0,15306738.683670795,0.0,290325.77507737133,143425.6435554984,1122.1538086956523,0.0,25,-15.306738683670794
0,1,25,1122.1538086956523,1122.1538086956523,42583.70319148937,104382.0148129037,5429.313546577172,36310.39745348857,146121.72581296944,84000.0,56820.238263270614,0.0,25446071.478981186,0.0,329525.6672677294,183403.94145475997,3027.0240000000003,0.0,17,-25.446071478981185
1,0,26,3027.0240000000003,2274.048,86295.99999999999,106816.05281652318,5738.184090648205,34600.92987232152,147155.16677949292,80371.80855302345,0.0,0.0,8037180.855302345,0.0,313822.97533251636,166667.80855302344,1561.5936,0.0,13,-8.037180855302346
0,1,27,2314.5696000000007,2314.5696000000007,87833.72127659577,105570.85574992995,5961.318488980013,35113.18863366362,146645.3628725736,74777.50289846859,0.0,0.0,7477750.289846859,0.0,309256.58704763796,162611.22417506436,2910.9024,0.0,19,-7.477750289846859
0,0,28,2910.9024,2910.9024,110463.47021276595,108730.43283364398,5763.893484376082,34304.426268943746,148798.75258696382,42942.62064192498,0.0,0.0,4294262.064192498,0.0,302204.84344165475,153406.09085469093,1415.05056,0.0,18,-4.294262064192498
0,0,29,1415.05056,1415.05056,53698.60404255319,105710.5229317552,6405.6144499270995,34658.5686623392,146774.7060440215,84000.0,25612.58991124516,0.0,16083776.973373547,0.0,310085.89999781986,163311.19395379836,1270.7452799999999,0.0,16,-16.083776973373546
0,1,30,1270.7452799999999,1270.7452799999999,48222.48021276595,106832.62021303737,6755.84926381601,35019.157293632656,148607.62677048604,84000.0,29029.734188583854,0.0,17108920.256575156,0.0,309859.84117183584,161252.2144013498,2173.0463999999997,0.0,30,-17.108920256575157
0,1,31,2173.0463999999997,2173.0463999999997,82463.17234042552,112963.317808136,6912.495966710932,34636.09143758985,154511.90521243677,76359.6107155275,0.0,0.0,7635961.07155275,0.0,313334.6882683898,158822.783055953,2151.81792,0.0,35,-7.6359610715527495
0,0,32,2151.81792,2151.81792,81657.59,111681.42711469864,6849.887804579319,34441.76708218248,152973.08200146045,84000.0,4830.1599062963505,0.0,9849047.971888905,0.0,323460.8319077568,170487.74990629635,1108.5983999999999,0.0,28,-9.849047971888906
0,0,33,1108.5983999999999,1108.5983999999999,42069.299999999996,107779.19993502216,7307.814717086226,32995.00888109761,148082.023533206,78134.36189307869,0.0,0.0,7813436.189307869,0.0,268285.6854262847,120203.66189307868,1069.10496,0.0,39,-7.813436189307869
0,1,34,1069.10496,1069.10496,40570.59553191489,108649.10494879776,7909.894347552579,32997.27884153994,149556.27813789027,84000.0,33720.39806841234,0.0,18516119.420523703,0.0,307847.2717382175,158290.99360032723,2107.8489600000003,0.0,35,-18.516119420523705
0,0,35,2107.8489600000003,2107.8489600000003,79989.04765957448,109305.83774373586,7929.533467364118,32767.710565039084,150003.08177613906,62665.28096109335,0.0,0.0,6266528.096109334,0.0,292657.4103968069,142654.32862066783,1063.29888,0.0,17,-6.266528096109335
