action,reward
37.0,0.0
34.12,0.0
35.59,0.0
36.62,-0.15422899220643904
32.45,-1.1217361769284686
25.1,-3.32182319298474
29.69,-6.596681217167561
28.46,-0.4232519823552415
29.8,-0.5694703979114016
23.14,-5.072021861658053
19.34,-7.807492174995749
24.34,-7.077633377344443
26.13,-8.368448269498167
19.84,-3.7900563885735363
20.71,-4.157482230037377
18.36,-5.640490494973296
20.59,-4.724104440000259
15.83,-5.76495513297667
20.71,-4.994679580255952
19.29,-5.226825449168067
24.37,-7.262830674625577
20.79,-5.92130469912906
23.08,-2.8597487754052087
21.02,-4.294530586063176
25.46,-1.7654919363737038
25.98,-5.784728735066832
26.48,-2.4300907700549668
25.37,-1.8392718450385805
23.68,-2.389208180743305
27.42,-2.1203231539576826
26.37,-2.8387352104111896
26.96,-2.6743548856761277
26.97,-3.650531430085589
21.79,-1.4429675403438502
25.86,-2.6783740110477856
22.49,-2.1171713640984846
16.72,-0.9538987204804124
14.76,-0.6402033134202337
19.55,-0.9637676022941882
17.78,-0.45311118297784814
20.27,-0.5140155686520322
16.73,-0.25449558674113987
14.78,-0.1052567243674159
15.29,-0.244306169133528
17.37,-0.21153835736970364
19.48,-0.860184860493175
15.75,-0.4837057422963839
16.21,-0.7332757692061627
21.88,-1.8206143370062877
20.44,-1.5332576196195689
19.58,-2.20929446300663
22.76,-2.5974574514516764
20.01,-3.1500831984662323
19.94,-2.870210854832406
25.43,-4.282468874330359
27.06,-8.717331415619363
22.32,-8.93725794180685
25.98,-4.583456803563725
28.58,-8.540664561088143
20.93,-4.657275771359138
24.13,-5.889325410020365
24.04,-5.260394312786195
19.3,-4.93802719283893
20.91,-5.039898969012552
19.48,-3.5067411397236445
17.21,-6.179276208712578
23.91,-4.4537496296228145
20.13,-5.000902881740501
17.39,-6.040303705560241
17.37,-5.541947333511324
20.0,-6.766718431089844
16.31,-5.764735030055784
24.03,-4.870952113051417
22.06,-7.376288439889327
23.83,-5.472147182502674
26.66,-3.99396287079257
25.42,-3.0188869267628546
25.98,-4.169498151356591
25.13,-5.855164001362382
28.15,-3.132411821611243
28.29,-1.940784457101983
27.21,-2.8524284509909257
26.99,-2.494132741563857
23.57,-4.455058404671767
26.19,-2.627752274908334
27.67,-4.907135070287929
24.03,-1.6515958431772575
21.88,-5.057849275967752
24.82,-2.608352831372054
21.09,-1.2128359157357085
18.19,-0.6087635496770454
19.65,-0.5316570791474409
20.45,-0.4741086754305065
20.0,-1.1149883293928204
18.76,-0.18647204125204075
15.97,-0.5527986958540971
18.15,-0.4700737659331067
17.96,-0.75841203565552
20.79,-1.9360423914345148
17.01,-1.8819414865380033
19.15,-1.2445636163084064
22.73,-4.009229774434645
19.21,-2.81347702391292
