demanda,demanda_residual
219003.93976642555,104453.16775437945
216405.3397382087,98133.98722929365
237308.2458475353,121127.74545024162
269029.6814861007,153176.0354639006
238589.2458614449,128204.00877678841
226016.0692543313,112972.24173109877
267564.60499960475,157125.02306420065
210462.1455560265,98614.60133514789
221466.9044990514,111580.61376624144
208204.78670798615,94924.14978847133
204953.84549621498,90442.27866083493
207340.38081624726,90056.86249086719
214076.93383057287,93592.47509358228
194013.67478918622,57141.9056546542
205518.9925611754,64444.817915429274
207656.86317262432,71009.69332490448
209793.6573134738,78528.84744090849
211257.65732937062,84842.08585411088
216260.01620721826,84592.58903351054
224715.69276962316,86069.75507273321
234768.85170231416,96296.53625105557
234783.9222907129,95167.929985697
230437.13400822022,91498.44008788379
231734.2810811288,91637.96356482926
241938.14589780945,95038.0143759365
274604.72272310784,128482.9969101384
261519.1461104303,114363.97933093738
257713.8225396983,111068.4596671247
251837.3695347123,103038.6169477485
258404.9166648499,111630.21062082841
258216.5343098632,109608.90753937716
261112.24022365818,106600.33501122141
269550.69325646403,116577.61125500358
223571.4045219039,75489.3809886979
256539.39311518124,106983.11497729097
243881.17533067244,93878.09355453338
214491.37501154345,59583.83930022686
208048.6984709973,50963.038459331496
222151.5398006032,64795.005461375345
210555.79849822068,59298.26586260338
226486.4869064984,77218.00225214649
207239.19257985425,60782.007607552485
201538.20428265605,52153.298400692554
202526.40429338574,51794.76060141635
212436.39263628796,66402.71309109728
232902.2516820467,84990.79695159732
210680.66908781204,63148.86999145406
210735.56908840718,63355.175182062434
239666.79293196998,93730.68898692555
224984.81041960415,79430.84419664161
227451.0045640308,83512.63336732518
