turbinado,action,reward
4275.0,1.0,1924700.994088475
1666.11088,1.0,32306.97427080795
946.0281600000001,1.0,-6393912.666758379
876.5064,1.0,-13257028.941669825
525.5712,1.0,-12129766.169260219
396.7488,1.0,-9896479.97590356
1175.85216,1.0,-9012974.384307504
854.2497599999999,1.0,-4697410.485160036
594.76032,1.0,-7562658.761174348
251.80848,1.0,-7970200.336847415
837.7992,1.0,-3979623.968328937
546.9206399999999,1.0,-5699480.651007351
376.42752,0.7890122,-7083694.745624293
0.0,0.0,-5714190.56546542
500.95584,1.0,-3416139.3201405825
0.0,0.0,-7100969.332490448
0.0,0.0,-7852884.744090849
0.0,0.0,-8652625.756233262
1371.50496,1.0,-168335.0564367749
213.73632000000003,0.15787625,-7314911.968225163
335.664,1.0,-7600521.581608875
1093.23648,1.0,-2908037.896183031
421.51535999999993,0.40599775,-6601729.454346917
730.35648,1.0,-4748697.517335912
391.91040000000004,1.0,-7134652.673294822
196.1064,1.0,-18188433.856264226
755.63712,1.0,-6868474.374274362
1284.0206400000002,1.0,-3344776.083927551
1601.4499199999998,1.0,-622890.9957210431
1654.6118399999998,1.0,-1160679.7204644259
3746.2823999999996,1.0,1460733.5117103346
4009.46112,1.0,1697209.318926602
3469.7980799999996,1.0,1164701.8067775024
3637.08576,1.0,1804714.1272755088
2804.03424,1.0,781554.5072126163
4275.0,1.0,2056889.4215865508
4275.0,1.0,2485567.5997653822
4275.0,1.0,2593327.6102765743
4275.0,1.0,2420428.0227510263
4275.0,1.0,2489137.267735676
2397.2385600000025,1.0,846226.8917747352
1032.78672,1.0,20640.971139176872
927.24912,1.0,48751.29082173435
1082.10816,0.77348363,170250.86460487737
794.7072000000001,1.0,-1836164.0926148815
514.44288,1.0,-5389206.3326403145
475.58448,0.41028672,-3439917.6614812342
517.49712,1.0,-3207180.8821378914
712.24272,1.0,-5067470.068018922
0.0,0.0,-7943084.419664161
861.5376,1.0,-3143157.7584243687
