volumen,hidrologia,tiempo,turbinado,vertimiento,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,demanda,demanda_residual,ingreso_exportacion,costo_termico,aportes,volumen_siguiente,hidrologia_siguiente,tiempo_siguiente,action,reward
5500.0,1,0,4275.0,0,258429.24728145744,89498.12267082525,10847.177165782274,14205.472175438588,114550.7720120461,0.0,0.0,219003.93976642555,104453.16775437945,1924700.994088475,0.0,441.1108799999999,1666.11088,3,1,1.0,1924700.994088475
1666.11088,3,1,1666.11088,0,100718.54517095828,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0.0,0.0,216405.3397382087,98133.98722929365,32306.97427080795,0.0,946.0281600000001,946.0281600000001,3,2,1.0,32306.97427080795
946.0281600000001,3,2,946.0281600000001,0,57188.61878265783,90659.82803868594,11002.30343492352,14518.368923684202,116180.50039729367,63939.12666758379,0.0,237308.2458475353,121127.74545024162,0.0,6393912.666758379,876.5064,876.5064,2,3,1.0,-6393912.666758379
876.5064,2,3,876.5064,0,52985.93899166785,90554.62452678141,10732.967364716964,14566.054130701754,115853.64602220013,84000.0,16190.096472232748,269029.6814861007,153176.0354639006,0.0,13257028.941669825,525.5712,525.5712,1,4,1.0,-13257028.941669825
525.5712,1,4,525.5712,0,31771.454879254346,85031.2477209428,10716.475757573358,14637.513606140346,110385.2370846565,84000.0,12432.55389753406,238589.2458614449,128204.00877678841,0.0,12129766.169260219,396.7488,396.7488,3,5,1.0,-12129766.169260219
396.7488,3,5,396.7488,0,23983.97514475357,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,84000.0,4988.266586345198,226016.0692543313,112972.24173109877,0.0,9896479.97590356,1175.85216,1175.85216,2,6,1.0,-9896479.97590356
1175.85216,2,6,1175.85216,0,71081.77511650897,84982.77061434375,10693.418996498953,14763.392324561399,110439.5819354041,84000.0,2043.2479476916778,267564.60499960475,157125.02306420065,0.0,9012974.384307504,854.2497599999999,854.2497599999999,2,7,1.0,-9012974.384307504
854.2497599999999,2,7,854.2497599999999,0,51640.496483547526,85986.18983175584,10551.754537368377,15309.599851754381,111847.5442208786,46974.104851600365,0.0,210462.1455560265,98614.60133514789,0.0,4697410.485160036,594.76032,594.76032,0,8,1.0,-4697410.485160036
594.76032,0,8,594.76032,0,35954.02615449796,84086.47588357603,10205.677110637433,15594.137738596493,109886.29073280995,75626.58761174348,0.0,221466.9044990514,111580.61376624144,0.0,7562658.761174348,251.80848,251.80848,2,9,1.0,-7562658.761174348
251.80848,2,9,251.80848,0,15222.146419997178,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,79702.00336847415,0.0,208204.78670798615,94924.14978847133,0.0,7970200.336847415,837.7992,837.7992,2,10,1.0,-7970200.336847415
837.7992,2,10,837.7992,0,50646.038977545555,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538006,39796.23968328937,0.0,204953.84549621498,90442.27866083493,0.0,3979623.968328937,546.9206399999999,546.9206399999999,0,11,1.0,-3979623.968328937
546.9206399999999,0,11,546.9206399999999,0,33062.05598079367,92209.90206906515,9278.029588771047,15795.58666754386,117283.51832538006,56994.80651007352,0.0,207340.38081624726,90056.86249086719,0.0,5699480.651007351,376.42752,376.42752,0,12,1.0,-5699480.651007351
376.42752,0,12,376.42752,0,22755.527637339364,92859.18840188251,9169.003791343186,18456.2665437649,120484.4587369906,70836.94745624292,0.0,214076.93383057287,93592.47509358228,0.0,7083694.745624293,238.2912,238.2912,0,13,0.7890122,-7083694.745624293
238.2912,0,13,0.0,0,0.0,95290.58732603819,8530.480186850396,33050.70162164341,136871.76913453202,57141.9056546542,0.0,194013.67478918622,57141.9056546542,0.0,5714190.56546542,262.66464,500.95584,0,14,0.0,-5714190.56546542
500.95584,0,14,500.95584,0,30283.424714023447,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,34161.39320140582,0.0,205518.9925611754,64444.817915429274,0.0,3416139.3201405825,319.00175999999993,319.00175999999993,0,15,1.0,-3416139.3201405825
319.00175999999993,0,15,0.0,0,0.0,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,71009.69332490448,0.0,207656.86317262432,71009.69332490448,0.0,7100969.332490448,282.2601600000001,601.26192,0,16,0.0,-7100969.332490448
601.26192,0,16,0.0,0,0.0,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,78528.84744090849,0.0,209793.6573134738,78528.84744090849,0.0,7852884.744090849,369.56304,970.82496,1,17,0.0,-7852884.744090849
970.82496,1,17,0.0,0,0.0,98434.05050166651,6757.079140633997,21224.44183295923,126415.57147525974,84000.0,842.0858541108755,211257.65732937062,84842.08585411088,0.0,8652625.756233262,400.67999999999995,1371.50496,0,18,0.0,-8652625.756233262
1371.50496,0,18,1371.50496,0,82909.23846914279,98975.04493142634,6723.902763309068,25968.47947897232,131667.42717370772,1683.350564367749,0.0,216260.01620721826,84592.58903351054,0.0,168335.0564367749,213.73632000000003,213.73632000000003,0,19,1.0,-168335.0564367749
213.73632000000003,0,19,213.73632000000003,0,12920.635390481573,98037.6221467726,6354.5806597072415,34253.7348904101,138645.93769688995,73149.11968225164,0.0,224715.69276962316,86069.75507273321,0.0,7314911.968225163,335.664,335.664,1,20,0.15787625,-7314911.968225163
335.664,1,20,335.664,0,20291.320434966816,97409.03202198535,5966.749727093678,35096.533702179564,138472.3154512586,76005.21581608875,0.0,234768.85170231416,96296.53625105557,0.0,7600521.581608875,1093.23648,1093.23648,0,21,1.0,-7600521.581608875
1093.23648,0,21,1093.23648,0,66087.55102386669,98814.04396127017,5886.59032116912,34915.35802257658,139615.99230501588,29080.378961830313,0.0,234783.9222907129,95167.929985697,0.0,2908037.896183031,421.51535999999993,421.51535999999993,0,22,1.0,-2908037.896183031
