volumen,hidrologia,tiempo
6250.0,3,0
1549.61856,2,1
1084.16448,1,2
597.96576,0,3
500.16959999999995,0,4
505.6128,2,5
1153.71648,3,6
2030.13216,2,7
1129.94784,2,8
1902.7007999999998,3,9
1954.04832,4,10
6656.36832,4,11
5993.50752,4,12
7535.62656,4,13
5175.39456,4,14
6697.07136,4,15
12183.0912,4,16
12500.0,4,17
12500.0,4,18
12500.0,4,19
12500.0,4,20
12500.0,4,21
12500.0,3,22
11454.05888,3,23
10200.8528,4,24
12089.46176,4,25
12500.0,4,26
12500.0,4,27
12500.0,4,28
12500.0,3,29
10013.24384,1,30
5114.242879999999,2,31
4218.72192,4,32
10940.952959999999,4,33
10885.37184,3,34
7884.414719999999,2,35
4522.936319999999,4,36
6534.68256,4,37
8810.54496,3,38
7911.630719999999,1,39
4265.110079999999,0,40
1856.6755200000002,0,41
1123.1136,0,42
1886.1897600000002,3,43
5233.455360000001,3,44
4929.7248,4,45
12500.0,4,46
10820.712319999999,3,47
7690.993279999999,3,48
2799.9756799999986,2,49
1304.79552,2,50
1157.9500799999998,1,51
612.48096,1,52
717.8976,0,53
202.36608,0,54
387.61632000000003,0,55
366.9926400000001,0,56
461.58336,1,57
881.55648,3,58
2546.8732800000002,3,59
2747.6064,3,60
2097.02304,2,61
1552.2192,2,62
1388.56032,2,63
1458.11232,1,64
735.92064,0,65
312.50016000000005,0,66
440.65728,0,67
667.27584,0,68
184.58496,0,69
461.94624000000005,0,70
542.4451200000001,0,71
407.39328,0,72
385.2576,2,73
2936.66688,2,74
4183.0992,2,75
2897.2943999999998,3,76
4703.71104,2,77
4868.1561599999995,2,78
4833.5616,1,79
2761.1539200000007,2,80
3292.4707200000003,3,81
5569.72416,2,82
3267.25056,2,83
3385.9727999999996,1,84
2242.71936,0,85
1011.6489599999999,1,86
2592.35424,1,87
2408.67648,2,88
3298.8815999999997,2,89
3520.2988800000003,0,90
1408.5792,2,91
5295.6287999999995,1,92
2313.36,1,93
3401.818560000001,2,94
3256.3036799999995,2,95
3185.96544,0,96
411.80832,0,97
607.64256,0,98
531.13536,0,99
824.40288,0,100
445.7376,0,101
465.51455999999996,0,102
