Semana,0-0,0-1,0-2,0-3,0-4,1-0,1-1,1-2,1-3,1-4,2-0,2-1,2-2,2-3,2-4,3-0,3-1,3-2,3-3,3-4,4-0,4-1,4-2,4-3,4-4
0,0.75,0.16666666666666666,0.0,0.041666666666666664,0.041666666666666664,0.21739130434782608,0.4782608695652174,0.21739130434782608,0.08695652173913043,0.0,0.043478260869565216,0.34782608695652173,0.391304347826087,0.17391304347826086,0.043478260869565216,0.0,0.0,0.34782608695652173,0.4782608695652174,0.17391304347826086,0.0,0.0,0.043478260869565216,0.21739130434782608,0.7391304347826086
1,0.625,0.2916666666666667,0.0,0.08333333333333333,0.0,0.30434782608695654,0.391304347826087,0.2608695652173913,0.043478260869565216,0.0,0.08695652173913043,0.30434782608695654,0.391304347826087,0.08695652173913043,0.13043478260869565,0.0,0.0,0.34782608695652173,0.43478260869565216,0.21739130434782608,0.0,0.0,0.0,0.34782608695652173,0.6521739130434783
2,0.6666666666666666,0.25,0.041666666666666664,0.0,0.041666666666666664,0.34782608695652173,0.391304347826087,0.13043478260869565,0.13043478260869565,0.0,0.0,0.30434782608695654,0.43478260869565216,0.2608695652173913,0.0,0.0,0.043478260869565216,0.34782608695652173,0.30434782608695654,0.30434782608695654,0.0,0.0,0.043478260869565216,0.30434782608695654,0.6521739130434783
3,0.6666666666666666,0.20833333333333334,0.08333333333333333,0.041666666666666664,0.0,0.30434782608695654,0.4782608695652174,0.08695652173913043,0.13043478260869565,0.0,0.043478260869565216,0.2608695652173913,0.5217391304347826,0.17391304347826086,0.0,0.0,0.043478260869565216,0.2608695652173913,0.391304347826087,0.30434782608695654,0.0,0.0,0.043478260869565216,0.2608695652173913,0.6956521739130435
4,0.5833333333333334,0.20833333333333334,0.20833333333333334,0.0,0.0,0.34782608695652173,0.34782608695652173,0.08695652173913043,0.13043478260869565,0.08695652173913043,0.043478260869565216,0.34782608695652173,0.391304347826087,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.30434782608695654,0.34782608695652173,0.21739130434782608,0.0,0.0,0.0,0.34782608695652173,0.6521739130434783
5,0.7083333333333334,0.20833333333333334,0.0,0.08333333333333333,0.0,0.2608695652173913,0.34782608695652173,0.30434782608695654,0.08695652173913043,0.0,0.043478260869565216,0.43478260869565216,0.30434782608695654,0.13043478260869565,0.08695652173913043,0.0,0.0,0.34782608695652173,0.34782608695652173,0.30434782608695654,0.0,0.0,0.043478260869565216,0.34782608695652173,0.6086956521739131
6,0.625,0.3333333333333333,0.041666666666666664,0.0,0.0,0.34782608695652173,0.34782608695652173,0.2608695652173913,0.043478260869565216,0.0,0.043478260869565216,0.21739130434782608,0.43478260869565216,0.2608695652173913,0.043478260869565216,0.0,0.08695652173913043,0.2608695652173913,0.5652173913043478,0.08695652173913043,0.0,0.0,0.0,0.13043478260869565,0.8695652173913043
7,0.7083333333333334,0.125,0.16666666666666666,0.0,0.0,0.2608695652173913,0.4782608695652174,0.21739130434782608,0.043478260869565216,0.0,0.043478260869565216,0.2608695652173913,0.30434782608695654,0.2608695652173913,0.13043478260869565,0.0,0.13043478260869565,0.21739130434782608,0.4782608695652174,0.17391304347826086,0.0,0.0,0.08695652173913043,0.21739130434782608,0.6956521739130435
8,0.7083333333333334,0.20833333333333334,0.08333333333333333,0.0,0.0,0.2608695652173913,0.34782608695652173,0.30434782608695654,0.08695652173913043,0.0,0.043478260869565216,0.391304347826087,0.2608695652173913,0.21739130434782608,0.08695652173913043,0.0,0.043478260869565216,0.34782608695652173,0.34782608695652173,0.2608695652173913,0.0,0.0,0.0,0.34782608695652173,0.6521739130434783
9,0.7916666666666666,0.125,0.041666666666666664,0.041666666666666664,0.0,0.21739130434782608,0.6086956521739131,0.08695652173913043,0.08695652173913043,0.0,0.0,0.2608695652173913,0.391304347826087,0.13043478260869565,0.21739130434782608,0.0,0.0,0.43478260869565216,0.43478260869565216,0.13043478260869565,0.0,0.0,0.043478260869565216,0.30434782608695654,0.6521739130434783
