action,fraccion_turbinado,reward
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
0.96,0.9991464853286743,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
0.9,0.9887314975261688,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
0.97,0.9995331460237503,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
0.83,0.9810353630781173,0.0
1.0,1.0,0.0
1.0,1.0,0.0
0.88,0.9966858124732971,0.0
1.0,1.0,0.0
0.89,0.9908359879255295,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,-1.4551914860754553e-15
1.0,1.0,0.0
0.94,0.9938764935731887,0.0
0.72,0.9405873435735702,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
0.69,0.9513472813367844,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
0.47,0.9314013695716858,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
0.99,0.9999372464418411,0.0
1.0,1.0,0.0
0.99,0.9993788599967957,0.0
0.99,0.9995348459482193,0.0
1.0,1.0,0.0
0.85,0.9651172167062759,-0.008644850254058837
0.84,0.9915303641557693,0.0
0.86,0.9913753944635392,0.0
0.91,0.9914034628868102,0.0
0.87,0.9759091746807098,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
0.92,0.9903278988599777,0.0
1.0,1.0,0.0
0.82,0.9857469868659973,0.0
0.53,0.9068195796012879,-0.05112939596176148
0.95,0.9919582235813141,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
0.99,0.9998896700143814,0.0
0.51,0.9347277104854583,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,-1.4551914860754553e-15
1.0,1.0,0.0
0.83,0.9823904937505722,0.0
