tiempo,volumen,hidrologia,volumen_turbinado,energia_hidro,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,energia_exportada,costo_termico,ingreso_exportacion,demanda,demanda_residual,fraccion_turbinado,qt_max_fisico,energia_hidro_max_frac,energia_hidro_obj,aportes,vertimiento,TimeLimit.truncated,action,reward,reward_usd
0,45000.0,2.0,3906.7466796734866,148253.95570766457,89498.12267082525,10847.177165782276,14205.472175438588,114550.77201204612,0.0,0.0,0.0,0.0,0.0,262804.7277197107,148253.95570766457,1.0,6822.144,258888.0,148253.95570766457,1078.5525408,0.0,0.0,1.0,0.0,0.0
1,42171.80586112651,1.77,3726.529890087601,141415.0551769354,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0.0,0.0,0.0,0.0,0.0,259686.40768585046,141415.0551769354,1.0,6822.144,258888.0,141415.0551769354,1341.4097964521739,0.0,0.0,1.0,0.0,0.0
2,39786.685767491086,1.73,4408.837258702448,167307.3831673678,90659.82803868594,11002.303434923519,14518.368923684202,116180.50039729365,840.0,442.0114523808728,0.0,216603.43571426184,0.0,284769.89501704235,168589.3946197487,0.9516696931421756,6492.427687051735,246375.8635181916,167307.3831673678,1575.032256,0.0,0.0,0.85,-0.21660343170166016,-216603.43170166016
3,36952.880764788635,1.75,5343.436330534484,202773.7240286062,90554.62452678141,10732.967364716962,14566.054130701754,115853.64602220013,2520.0,1688.2477325145412,0.0,758474.3197543625,0.0,322835.61778332083,206981.97176112072,0.972397817671299,6633.837937439346,251742.12622128724,202773.7240286062,1582.41384,0.0,0.0,0.92,-0.7584743118286132,-758474.3118286133
4,33191.858274254155,1.78,4635.843483190223,175921.85794907738,85031.24772094279,10716.475757573358,14637.513606140346,110385.2370846565,0.0,0.0,0.0,0.0,0.0,286307.0950337339,175921.85794907738,0.9959029626846313,6794.193421461182,257827.32620349884,175921.85794907738,1804.1607359999998,0.0,0.0,0.97,0.0,0.0
5,30360.17552706393,1.87,4168.195262993144,158175.455581965,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,0.0,0.0,0.0,0.0,0.0,271219.28310519754,158175.455581965,1.0,6822.144,258888.0,158175.455581965,1906.5043872,0.0,0.0,1.0,0.0,0.0
6,28098.484651270788,1.87,5526.527255436274,209721.69278534525,84982.77061434375,10693.418996498953,14763.392324561397,110439.58193540409,916.2512787763721,0.0,2.7939677238464354e-11,91625.12787763722,0.0,321077.5259995257,210637.94406412158,0.9830713373422623,6706.654225621492,254505.3723818636,209721.6927853452,2089.8307584,0.0,0.0,0.9,-0.09162512540817261,-91625.12540817261
7,24661.788154234513,2.04,3547.3070056105753,134613.87154368343,85986.18983175584,10551.754537368377,15309.599851754383,111847.5442208786,4523.369069120988,1569.7898335487428,0.0,923273.8569767216,0.0,252554.57466723176,140707.03044635316,0.9163967509567738,6251.790596159249,237244.12206169724,134613.87154368343,2091.7425312,0.0,0.0,0.79,-0.9232738578319549,-923273.857831955
8,23206.223679823936,2.0,4040.8828056179786,153344.17857213615,84086.47588357603,10205.677110637433,15594.137738596495,109886.29073280995,2010.211472924705,519.604620990871,0.0,356902.53358973184,0.0,265760.2853988617,155873.99466605173,0.9651573621481657,6584.442507234937,249867.65917181433,153344.17857213615,2084.914944,0.0,0.0,0.89,-0.35690253019332885,-356902.53019332886
9,21250.25581820596,2.04,3598.7254187786,136565.10713006853,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,0.0,0.0,0.0,0.0,0.0,249845.7440495834,136565.10713006853,1.0,6822.144,258888.0,136565.10713006853,2131.9526592,0.0,0.0,1.0,0.0,0.0
