volumen_discreto,hidrologia,tiempo,volumen,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,energia_exportada,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,action,reward
15,2,0,45000.0,6472.290461538461,245611.6923076923,89498.12267082525,10847.177165782274,14205.472175438588,114550.7720120461,0.0,0.0,97357.73660002774,0.0,0.0,262804.7277197107,148253.95570766457,1103.63904,0.0,37,0.0
13,3,1,39631.34857846154,6122.436923076923,232335.38461538462,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0.0,0.0,90920.32943844923,0.0,0.0,259686.40768585046,141415.0551769354,1926.1065600000002,0.0,35,0.0
11,2,2,35435.01821538462,6297.363692307693,238973.5384615385,90659.82803868594,11002.30343492352,14518.368923684202,116180.50039729367,0.0,0.0,70384.1438417898,0.0,0.0,284769.89501704235,168589.3946197487,1183.83552,0.0,36,0.0
10,2,3,30321.490043076927,6122.436923076923,232335.38461538462,90554.62452678141,10732.967364716964,14566.054130701754,115853.64602220013,0.0,0.0,25353.41285426391,0.0,0.0,322835.61778332083,206981.97176112072,1171.61856,0.0,35,0.0
8,2,4,25370.671680000003,5597.656615384615,212420.92307692306,85031.2477209428,10716.475757573358,14637.513606140346,110385.2370846565,0.0,0.0,36499.06512784568,0.0,0.0,286307.0950337339,175921.85794907738,1262.52,0.0,32,0.0
7,2,5,21035.53506461539,4723.022769230769,179230.15384615384,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,0.0,0.0,21054.69826418883,0.0,0.0,271219.28310519754,158175.455581965,1284.8371200000001,0.0,27,0.0
5,2,6,17597.34941538462,5597.656615384615,212420.92307692306,84982.77061434375,10693.418996498953,14763.392324561399,110439.5819354041,0.0,0.0,1782.9790128014865,0.0,0.0,321077.5259995257,210637.94406412158,1408.7606400000002,0.0,32,0.0
4,2,7,13408.453440000005,6647.217230769231,252249.84615384616,85986.18983175584,10551.754537368377,15309.599851754381,111847.5442208786,0.0,0.0,111542.81570749299,0.0,0.0,252554.57466723176,140707.03044635316,1153.3536,0.0,38,0.0
2,1,8,7914.589809230774,6822.144,258888.0,84086.47588357603,10205.677110637433,15594.137738596493,109886.29073280995,0.0,0.0,103014.00533394827,0.0,0.0,265760.2853988617,155873.99466605173,857.96928,0.0,39,0.0
0,1,9,1950.4150892307741,1950.4150892307741,74014.71760501928,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,62550.38952504925,0.0,0.0,6255038.952504925,0.0,249845.74404958336,136565.10713006853,865.34784,0.0,15,-6.2550389525049255
0,1,10,865.34784,865.34784,32838.38212765958,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538006,84000.0,14594.665632418357,0.0,12778399.689725507,0.0,245944.61459545797,131433.04776007793,862.50528,0.0,34,-12.778399689725507
0,1,11,862.50528,862.50528,32730.512127659575,92209.90206906515,9278.029588771047,15795.58666754386,117283.51832538006,84000.0,14794.426526457071,0.0,12838327.957937121,0.0,248808.4569794967,131524.93865411665,845.2684800000001,0.0,35,-12.838327957937121
0,0,12,845.2684800000001,845.2684800000001,32076.40680851064,92859.18840188251,9169.003791343186,18456.2665437649,120484.4587369906,84000.0,20331.455051186218,0.0,14499436.515355866,0.0,256892.32059668744,136407.86185969686,475.31232000000006,0.0,32,-14.499436515355866
0,0,13,475.31232000000006,475.31232000000006,18037.241063829788,95290.58732603819,8530.480186850396,33050.70162164341,136871.76913453202,77907.39954866165,0.0,0.0,7790739.954866164,0.0,232816.40974702346,95944.64061249144,439.14528,0.0,28,-7.790739954866164
0,0,14,439.14528,439.14528,16664.76744680851,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,84000.0,4883.848980855837,0.0,9865154.69425675,0.0,246622.79107341048,105548.61642766435,440.65728,0.0,15,-9.86515469425675
0,2,15,440.65728,440.65728,16722.14510638298,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,84000.0,11818.920853046351,0.0,11945676.255913906,0.0,249188.23580714918,112541.06595942934,2060.2512,0.0,6,-11.945676255913906
0,3,16,2060.2512,2060.2512,78182.79893617022,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,42304.77996743303,0.0,0.0,4230477.996743303,0.0,251752.38877616858,120487.57890360325,4643.83584,0.0,21,-4.230477996743303
