volumen_discreto,volumen,hidrologia,tiempo,aportes,vertimiento,turbinado
15.0,45000.0,2.0,0,1153.2459456,0.0,6472.290461538462
13.0,39680.95548406154,1.83,1,1102.2123168,0.0,5968.501366153846
11.0,34814.666434707695,1.83,2,1570.3492895999998,0.0,6225.643716923078
9.43,30159.372007384616,1.68,3,1394.3385792000001,0.0,6405.81828923077
7.72,25147.892297353847,1.69,4,1501.588368,0.0,5676.373661538461
6.4,20973.10700381539,1.6,5,1433.4286176,0.0,4390.661907692308
5.46,18015.873713723082,1.68,6,1560.9760992000001,0.0,5193.575778461539
4.26,14383.274034461541,1.63,7,1400.813568,0.0,4975.190316553846
3.09,10808.897285907697,1.55,8,1550.9098079999999,0.0,5099.310285784616
1.97,7260.496808123081,1.68,9,1753.5613535999998,0.0,3017.0519667692324
1.56,5997.0061949538485,1.71,10,1653.3726310956522,0.0,2072.935315938462
1.46,5577.443510111038,1.74,11,1564.0182432000001,0.0,2289.776903470234
1.17,4851.6848498408035,1.81,12,2049.5740608,0.0,2057.4605062956525
1.16,4843.7984043451515,1.79,13,2306.7755424,0.0,1662.0031960615386
1.46,5488.5707506836125,1.78,14,2530.7293536,0.0,2140.8108435692307
1.59,5878.489260714382,1.84,15,2912.0230944,0.0,1880.1159238956523
1.83,6910.39643121873,1.98,16,3578.8834368,0.0,2317.118692430769
2.26,8172.16117558796,1.98,17,3889.822608,0.0,2414.2648785230767
2.7,9647.718905064883,1.92,18,3828.1572,0.0,2503.050239004682
3.2,10972.8258660602,1.94,19,3753.5784442434788,0.0,2538.207015844816
3.63,12188.197294458865,2.08,20,4174.934215930435,45.38172412575281,2532.3778866943144
4.15,13785.371899569232,2.22,21,4334.653008,65.11728073846163,2848.9043985230774
4.55,15206.003228307694,2.21,22,4324.6786464,94.22304812307695,3307.930338461538
4.86,16128.52848812308,2.17,23,4606.308683686957,3.712292676923316,3274.3784536615385
5.31,17456.746425471574,2.18,24,4868.854756591304,172.6173615411377,3579.572182635451
5.7,18573.41163788629,2.08,25,4902.7108032,38.16069341538459,3851.714194386622
6.05,19586.247553284284,2.12,26,4917.181248,68.56818837190643,4180.303395692307
6.21,20254.55721722007,2.41,27,5194.2014208,142.20378172575286,4051.979977942475
6.49,21254.574878351843,2.43,28,5033.3155488,254.47897489765964,3942.2872866461535
6.82,22091.12416560803,2.2,29,4512.1660415999995,150.35481526153868,4187.887820307693
6.89,22265.0475716388,2.13,30,4387.185331199999,162.93601631036807,3834.4516792615386
7.05,22654.84520726689,2.22,31,4370.3386272,178.75038732842899,3670.379565110368
7.23,23176.053882028096,2.07,32,3968.4290687999996,181.91960640000028,3867.085198523077
7.21,23095.47814590502,2.12,33,3965.8169376,249.3033518769237,3048.997500553846
7.37,23762.99423107425,2.05,34,3955.3127712,293.5652027076929,3724.5579839999996
7.36,23700.183815566557,2.03,35,4024.1178432,292.65201969230816,3379.3177203692308
7.51,24052.331918705022,1.96,36,4127.600332800001,373.6773083076924,2543.4616962461537
7.83,25262.793246951172,1.86,37,4422.7548288,581.4163967999998,2298.5631492923076
8.36,26805.568529658867,1.76,38,4663.0491264,347.50059913846155,2812.8585976615386
8.86,28308.25845925887,1.77,39,4824.488995199999,376.2181661538458,2732.746138338461
9.47,30023.783149966555,1.86,40,5102.7344928,420.5677779692311,3213.5457156923076
9.96,31492.40414910502,2.07,41,5184.4157568,733.82758596923,2725.4705804307687
10.47,33217.52173950502,2.12,42,4977.253008,1117.74886866622,2480.338813292308
10.89,34596.68706554649,2.07,43,4605.7824288,1088.1022515692298,2484.236470153846
11.26,35630.13077262341,2.08,44,4231.767456,775.1769430153837,2929.2273949966557
11.41,36157.49389061137,2.09,45,3744.5835956869564,571.0311740468234,3337.713760984615
11.4,35993.33255126689,2.0,46,3092.955509426087,606.8358336642133,2668.9247862260872
11.34,35810.527440802674,1.86,47,2342.6804673391302,249.99657176187225,2636.3730080107025
11.22,35266.838328369224,1.84,48,2208.0746016,199.5473398153847,3530.4239581645484
