tiempo,volumen_discreto,hidrologia,volumen,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,energia_exportada,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,action,reward,reward_usd
0,15.0,2.0,45000.0,6472.290461538462,245611.6923076923,89498.12267082525,10847.177165782276,14205.472175438588,114550.77201204612,0.0,0.0,97357.73660002774,0.0,0.0,262804.7277197107,148253.95570766457,1153.2459456,0.0,37.0,0.0,0.0
1,13.0,1.83,39680.95548406154,5968.501366153846,226493.80923076923,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0.0,0.0,85078.75405383385,0.0,0.0,259686.40768585046,141415.0551769354,1102.2123168,0.0,34.12,0.0,0.0
2,11.0,1.83,34814.666434707695,6225.643716923078,236251.8953846154,90659.82803868594,11002.303434923519,14518.368923684202,116180.50039729365,0.0,0.0,67662.50076486671,0.0,0.0,284769.89501704235,168589.3946197487,1570.3492895999998,0.0,35.59,0.0,0.0
3,9.43,1.68,30159.372007384616,6405.81828923077,243089.19384615385,90554.62452678141,10732.967364716962,14566.054130701754,115853.64602220013,840.0,234.09664068813015,37181.31872572126,154228.99220643903,0.0,322835.61778332083,206981.97176112072,1394.3385792000001,0.0,36.62,-0.15422899220643904,-154228.99220643906
4,7.72,1.69,25147.892297353847,5676.373661538461,215408.0923076923,85031.24772094279,10716.475757573358,14637.513606140346,110385.2370846565,4200.0,2339.120589761562,46025.35494837648,1121736.1769284687,0.0,286307.0950337339,175921.85794907738,1501.588368,0.0,32.45,-1.1217361769284686,-1121736.1769284685
5,6.4,1.6,20973.10700381539,4390.661907692308,166617.66153846154,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,19355.44922565545,4620.927568063983,32418.582750215963,3321823.1929847402,0.0,271219.28310519754,158175.455581965,1433.4286176,0.0,25.1,-3.32182319298474,-3321823.19298474
6,5.46,1.68,18015.873713723082,5193.575778461539,197086.78769230767,84982.77061434375,10693.418996498953,14763.392324561397,110439.58193540409,13759.208112051661,17402.534686541316,17610.586426779093,6596681.21716756,0.0,321077.5259995257,210637.94406412158,1560.9760992000001,0.0,29.69,-6.596681217167561,-6596681.217167561
7,4.26,1.63,14383.274034461541,4975.190316553846,188799.4552258047,85986.18983175584,10551.754537368377,15309.599851754383,111847.5442208786,2024.9656890789163,735.8513781578326,50853.24184668828,423251.9823552415,0.0,252554.57466723176,140707.03044635316,1400.813568,0.0,28.46,-0.4232519823552415,-423251.9823552415
8,3.09,1.55,10808.897285907697,5099.310285784616,193509.58309678125,84086.47588357603,10205.677110637433,15594.137738596495,109886.29073280995,4416.706596579273,425.99912751158115,42478.294154820374,569470.3979114016,0.0,265760.2853988617,155873.99466605173,1550.9098079999999,0.0,29.8,-0.5694703979114016,-569470.3979114016
9,1.97,1.68,7260.496808123081,3017.0519667692324,114491.65388079657,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,34628.62110291762,5363.865837887635,17919.033691533295,5072021.861658053,0.0,249845.7440495834,136565.10713006853,1753.5613535999998,0.0,23.14,-5.072021861658053,-5072021.861658053
10,1.56,1.71,5997.0061949538485,2072.935315938462,78664.1381466994,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538007,49506.332482879356,9522.863089026045,6260.28595852688,7807492.174995749,0.0,245944.614595458,131433.04776007793,1653.3726310956522,0.0,19.34,-7.807492174995749,-7807492.174995749
11,1.46,1.74,5577.443510111038,2289.776903470234,86892.88337883253,92209.90206906517,9278.029588771047,15795.58666754386,117283.51832538006,44607.976053611135,8722.785906611103,8698.70668493811,7077633.377344443,0.0,248808.4569794967,131524.93865411665,1564.0182432000001,0.0,24.34,-7.077633377344443,-7077633.377344443
12,1.17,1.81,4851.6848498408035,2057.4605062956525,78076.89716808512,92859.1884018825,9169.003791343186,18456.2665437649,120484.4587369906,52804.60348710576,10293.293069291965,4766.931864785985,8368448.269498166,0.0,256892.3205966874,136407.86185969686,2049.5740608,0.0,26.13,-8.368448269498167,-8368448.269498167
