volumen,hidrologia,tiempo
6250.0,2,0
1327.41504,2,1
1334.24928,2,2
1249.6377599999998,1,3
651.4300799999999,1,4
878.53248,1,5
799.30368,2,6
1510.00416,3,7
1670.76,1,8
798.27552,0,9
300.34368,0,10
365.904,0,11
438.47999999999996,0,12
462.12768,0,13
430.0128,0,14
391.91040000000004,0,15
533.0102400000001,0,16
407.87712000000005,0,17
355.19903999999997,0,18
515.65248,1,19
1063.8432,0,20
742.0896,0,21
1232.5824,0,22
650.88576,0,23
1327.8384,0,24
434.66975999999994,0,25
1589.5958400000002,0,26
1555.5456,0,27
1837.9872,1,28
2768.04864,4,29
5942.764800000001,2,30
2867.90112,4,31
7598.767679999999,4,32
7357.512959999998,2,33
4424.837759999998,2,34
3389.2992,1,35
2235.70368,1,36
1930.6425600000005,0,37
1580.1609600000002,0,38
2022.4512,0,39
1714.3660800000002,0,40
1894.17312,0,41
2278.34208,1,42
2580.86304,0,43
1351.6675200000002,0,44
1103.82048,0,45
929.88,1,46
1417.5907200000001,1,47
926.31168,1,48
1028.52288,1,49
778.49856,1,50
947.1772799999999,2,51
1226.1715199999999,1,52
628.14528,0,53
439.14528,0,54
377.03232,0,55
330.28128,0,56
203.93856000000002,0,57
391.66848000000005,0,58
433.3392,0,59
386.28576,0,60
654.9984000000001,0,61
377.63712,0,62
650.03904,0,63
534.9456,0,64
365.35968,0,65
578.0678399999999,0,66
407.57472,0,67
676.7712,1,68
696.7296,0,69
487.65024000000005,0,70
636.31008,0,71
851.49792,0,72
885.4876800000001,0,73
1239.96096,1,74
2142.2016000000003,1,75
2212.4793600000003,1,76
2041.86528,0,77
1641.4272,0,78
277.1193600000001,0,79
1357.71552,1,80
2451.31488,1,81
2304.6508799999997,0,82
1469.4825600000001,0,83
1055.79936,2,84
3712.1414400000003,4,85
6691.991040000001,4,86
6304.314240000001,3,87
4602.528,4,88
11205.91584,4,89
12500.0,4,90
12500.0,4,91
12500.0,4,92
12500.0,4,93
12500.0,4,94
12500.0,4,95
12500.0,4,96
12500.0,4,97
12500.0,4,98
11855.16224,4,99
12500.0,4,100
12319.406719999999,4,101
9144.327679999999,3,102
