turbinado,action,reward
6250.0,1.0,132723.00442844167
1318.464,1.0,-4810066.808035748
1341.20448,1.0,-7023146.630130545
1219.63968,1.0,-15267876.0434255
5867.588159999999,1.0,94460.32718065837
3138.79104,1.0,6139.1893327310245
1582.33824,1.0,-12323446.429898493
1634.1696,1.0,-3660082.686706279
979.05024,1.0,-7442743.163858186
1953.14112,1.0,-2080598.4256556432
1088.21664,1.0,-4914642.951189875
2918.2204800000004,1.0,20684.315594239204
3692.54592,1.0,46532.950012800706
6822.144,1.0,201746.0943453458
6822.144,1.0,194443.18208457073
6822.144,1.0,187878.30667509552
6822.144,1.0,180359.1525590915
6822.144,1.0,174045.9141458891
6822.144,1.0,174295.41096648946
3834.976319999998,1.0,59460.64556556457
918.9936,1.0,-6142239.476169387
3353.0112000000004,1.0,32072.767886643443
3581.6256,1.0,44417.75991211619
4714.0531200000005,1.0,87251.80835006438
4012.48512,1.0,57228.52349640391
4174.75296,1.0,29941.311387733935
5638.248,1.0,99597.3132222541
4243.94208,1.0,49981.450332875305
3933.0143999999996,1.0,46212.15113735787
2671.4015999999997,1.0,-1025536.1684658201
4041.8784,1.0,43773.05203509092
3625.41312,1.0,30977.522010055196
4703.40864,1.0,61908.22193648579
3461.81472,1.0,55880.21326662126
2622.89664,1.0,-744894.1360269702
3713.4115200000006,1.0,47039.143253977294
3908.52,1.0,88737.41069977314
2242.41696,1.0,34132.62090237063
3173.7484799999997,1.0,55642.99709181614
6822.144,1.0,199589.73413739662
6822.144,1.0,181669.99774785351
6822.144,1.0,198105.99239244752
6822.144,1.0,206734.70159930745
6822.144,1.0,207093.23939858365
6822.144,1.0,192485.28690890272
6822.144,1.0,173897.20304840268
6822.144,1.0,195739.13000854594
6822.144,1.0,195532.82481793757
6822.144,1.0,165157.31101307445
6822.144,1.0,179457.1558033584
6822.144,1.0,175375.36663267482
6822.144,1.0,164529.09844505094
6822.144,1.0,167031.04649167796
2258.1958399999985,1.0,-243310.03850077977
577.2211199999999,1.0,-9851323.97546853
698.3020799999999,1.0,-18927869.14330283
513.4752,1.0,-12323768.567049619
1035.23616,1.0,-6703823.611432224
1531.71648,1.0,-7143079.2101698285
1408.7606400000002,1.0,-3395963.3596058614
2283.78528,1.0,-1566847.3730445695
3030.4108800000004,1.0,17185.874247443702
6309.99936,1.0,153349.0238202765
4020.95232,1.0,69766.85717341804
1604.8368,1.0,-830376.1159400718
599.90112,1.0,-6381653.597103872
358.88831999999996,1.0,-6614181.831629995
441.504,1.0,-6159387.486577567
2060.31168,1.0,-896115.2069766453
4579.42464,1.0,88007.50703231087
3431.15136,1.0,35146.160870812964
4834.9526399999995,1.0,100012.42114620793
4919.1408,1.0,93082.49633748131
6822.144,1.0,151026.83166911174
5737.67712,1.0,112804.20817125295
5773.78368,1.0,118457.3336008634
3490.96608,1.0,36762.40936049374
3549.9945600000005,1.0,30712.93426931376
3119.92128,1.0,-1499333.6073503015
5781.5856,1.0,99504.68356117929
3401.3952000000004,1.0,18150.992243727917
2146.07232,1.0,-3546127.5331807965
2457.06048,1.0,-2246448.0770980124
2173.0463999999997,1.0,-2941696.397095101
3853.36224,1.0,33174.06557904417
3402.0,1.0,1515.919550206585
2900.37888,1.0,24086.78079584455
5636.433599999999,1.0,102394.79658307016
2825.14176,1.0,6787.805433564179
2581.6492800000005,1.0,30228.511692495405
5874.240959999999,1.0,160997.53736124714
2904.2495999999996,1.0,39201.92463520207
3506.14656,1.0,63931.03115219483
6822.144,1.0,175307.34969227065
6424.608960000001,1.0,179682.0756479694
4887.3888,1.0,134938.37892023407
4604.3424,1.0,114339.49835841527
4963.83552,1.0,118501.67364149017
4047.200639999999,1.0,61428.97997645737
3458.9116799999997,1.0,58357.03531467225
1547.25984,1.0,-1504605.5245071242
2649.81024,1.0,-190014.24853035132
1357.776,1.0,-3458861.9319249657
